lambda_nm,Rs,Ts,Rp,Tp
452.617,0.29487,0.0255708,0.270444,0.0257323
451.977,0.299084,0.0242719,0.274057,0.024392
451.34,0.302294,0.0229564,0.276725,0.0230321
450.704,0.304592,0.0217806,0.278549,0.0218112
450.07,0.305995,0.0207295,0.279558,0.0207153
449.438,0.306533,0.0197885,0.279796,0.0197307
448.808,0.306973,0.0194107,0.279951,0.0193106
448.179,0.307022,0.0193778,0.279767,0.0192343
447.552,0.306223,0.0193994,0.27886,0.0192113
446.927,0.304582,0.0194742,0.277246,0.0192405
446.304,0.302121,0.0195998,0.274957,0.0193194
445.682,0.298486,0.0194102,0.271698,0.0190873
445.063,0.293958,0.0189102,0.267713,0.0185513
444.444,0.289105,0.0184336,0.263481,0.018041
443.828,0.284072,0.0179701,0.259118,0.0175463
443.213,0.279006,0.0175104,0.254745,0.0170581
442.6,0.273929,0.0171532,0.250373,0.0166725
441.989,0.268755,0.0170017,0.24592,0.0164894
441.379,0.263873,0.0168278,0.241732,0.0162864
440.771,0.259438,0.0166256,0.237937,0.016058
440.165,0.255579,0.0163907,0.234646,0.0158006
439.56,0.252462,0.0160337,0.232,0.0154287
438.957,0.25036,0.0153639,0.230225,0.0147603
438.356,0.249042,0.0146847,0.229119,0.0140876
437.756,0.248426,0.0140039,0.228607,0.0134176
437.158,0.248392,0.0133293,0.228586,0.0127575
436.562,0.248778,0.0127031,0.228913,0.0121473
435.967,0.249165,0.0125856,0.229248,0.0120251
435.374,0.249928,0.0124527,0.229897,0.0118906
434.783,0.250945,0.0123094,0.230754,0.0117486
434.193,0.252085,0.0121611,0.23171,0.011604
433.604,0.253216,0.0120128,0.232656,0.0114615
433.018,0.254248,0.0116196,0.233511,0.0110879
432.432,0.254897,0.0112003,0.234044,0.0106908
431.849,0.255053,0.0108121,0.23417,0.0103243
431.267,0.254661,0.0104549,0.23384,0.00998782
430.686,0.253688,0.0101275,0.233028,0.00968004
430.108,0.252132,0.00982743,0.231728,0.00939831
429.53,0.249993,0.00955291,0.229939,0.00914075
428.954,0.247302,0.00930142,0.227681,0.00890482
428.38,0.244112,0.00906973,0.224998,0.00868734
427.807,0.240491,0.00885437,0.221947,0.00848503
427.236,0.23651,0.00866002,0.218586,0.00830242
426.667,0.232235,0.00848466,0.214972,0.00813763
426.099,0.22779,0.0083151,0.211213,0.00797817
425.532,0.2233,0.00814779,0.207418,0.00782085
424.967,0.21889,0.00797964,0.203696,0.00766291
424.403,0.214701,0.0077365,0.200173,0.00743332
423.841,0.210919,0.00736348,0.19701,0.00707949
423.28,0.20758,0.00699774,0.194236,0.00673319
422.721,0.204701,0.00663994,0.191865,0.00639501
422.164,0.202268,0.00629128,0.189883,0.00606597
421.607,0.200244,0.00595401,0.188256,0.00574814
421.053,0.198597,0.0056323,0.186956,0.00544539
420.499,0.197242,0.00532329,0.185905,0.00515478
419.948,0.196083,0.00502838,0.18502,0.0048775
419.397,0.195025,0.00474863,0.184214,0.00461438
418.848,0.193984,0.00449066,0.183414,0.00437176
418.301,0.192955,0.00430256,0.182617,0.00419655
417.755,0.191814,0.00412419,0.181709,0.00403018
417.21,0.190496,0.00395585,0.18063,0.00387288
416.667,0.188954,0.00379751,0.179337,0.00372458
416.125,0.18716,0.00364884,0.177802,0.00358498
