wavelength_nm,R,T,A
4.000000000000000000e+02,6.247758994453648075e-04,8.295491725100319347e-02,9.164203068495514470e-01
4.010000000000000000e+02,9.139165867123134673e-04,8.249924560589337597e-02,9.165868378073942502e-01
4.020000000000000000e+02,1.295528673494435786e-03,8.213010030902853642e-02,9.165743710174769632e-01
4.030000000000000000e+02,1.739651569528460895e-03,8.183619157177535186e-02,9.164241568586961595e-01
4.039999999999999432e+02,2.216601731865303938e-03,8.161968372776791381e-02,9.161637145403667137e-01
4.050000000000000000e+02,2.696975138020632143e-03,8.149876338119220465e-02,9.158042614807871962e-01
4.059999999999999432e+02,3.154545737902286068e-03,8.148446385927039792e-02,9.153609904028272570e-01
4.070000000000000000e+02,3.565270965264702961e-03,8.156773613483007945e-02,9.148669928999052514e-01
4.080000000000000000e+02,3.909244619324957724e-03,8.173897893770089296e-02,9.143517764429741623e-01
4.089999999999999432e+02,4.172923532895523972e-03,8.198046150873003479e-02,9.138466149583743814e-01
4.100000000000000000e+02,4.341422653033839840e-03,8.232560800538016310e-02,9.133329693415860318e-01
4.109999999999999432e+02,4.407198224618851488e-03,8.276426242880978446e-02,9.128285393465713771e-01
4.120000000000000000e+02,4.365995167496627798e-03,8.329671880546406226e-02,9.123372860270393403e-01
4.130000000000000000e+02,4.216937122217036434e-03,8.393476418812480244e-02,9.118482986896581100e-01
4.140000000000000000e+02,3.949273703266247861e-03,8.429980984990174953e-02,9.117509164468320382e-01
4.150000000000000000e+02,3.590062501968430565e-03,8.462341735095402218e-02,9.117865201470775061e-01
4.159999999999999432e+02,3.160793928669153145e-03,8.504383605179013927e-02,9.117953700195406963e-01
4.170000000000000000e+02,2.681533669143112714e-03,8.554731193649117715e-02,9.117711543943656238e-01
4.179999999999999432e+02,2.173656929545661302e-03,8.614162430327663988e-02,9.116847187671777153e-01
4.190000000000000000e+02,1.663032010893049318e-03,8.682388638103220868e-02,9.115130816080747600e-01
4.200000000000000000e+02,1.178535745334214789e-03,8.757611384124046328e-02,9.112453504134253590e-01
4.209999999999999432e+02,7.527539931144635980e-04,8.841118061343229695e-02,9.108360653934531870e-01
4.220000000000000000e+02,4.205173784834989083e-04,8.932213573398899153e-02,9.102573468875275742e-01
4.229999999999999432e+02,2.184227593832423133e-04,9.029985640806777181e-02,9.094817208325489677e-01
4.240000000000000000e+02,1.848275475862049607e-04,9.135403073985594313e-02,9.084611417125578736e-01
4.249999999999999432e+02,3.591911535720277316e-04,9.247898148003118324e-02,9.071618273663967225e-01
4.260000000000000000e+02,7.785816226924344857e-04,9.367286394718228604e-02,9.055485544301252743e-01
4.270000000000000000e+02,1.482430859687418768e-03,9.493208129157713893e-02,9.035854878487353803e-01
4.279999999999999432e+02,2.509528217991047108e-03,9.623958158494022586e-02,9.012508901970688324e-01
4.290000000000000000e+02,3.898019067795734701e-03,9.759042817150523352e-02,8.985115527606990504e-01
4.299999999999999432e+02,5.682392353444508555e-03,9.899601651947843861e-02,8.953215911270770988e-01
4.310000000000000000e+02,7.894466674151185553e-03,1.004505992339700532e-01,8.916549340918787925e-01
4.319999999999999432e+02,1.056257235444286492e-02,1.019510781310102726e-01,8.874863495145468573e-01
4.330000000000000000e+02,1.371093163539589474e-02,1.034972536988937597e-01,8.827918146657103282e-01
4.340000000000000000e+02,1.735412616972496422e-02,1.050714377695514956e-01,8.775744360607234951e-01
4.349999999999999432e+02,2.150439930721131584e-02,1.066700099319778383e-01,8.718255907608108979e-01
4.360000000000000000e+02,2.619387388122591809e-02,1.083019086921627322e-01,8.655042174266113220e-01
4.369999999999999432e+02,3.141702257937890180e-02,1.099732540111831580e-01,8.586097234094378639e-01
4.380000000000000000e+02,3.717642350628277276e-02,1.116867331571610722e-01,8.511368433365561481e-01
4.389999999999999432e+02,4.345135279484531321e-02,1.134376481109199974e-01,8.431109990942347032e-01
4.399999999999999432e+02,5.022109323089410382e-02,1.152203979932992228e-01,8.345585087758067289e-01
4.410000000000000000e+02,5.740653026370197420e-02,1.170248696900098029e-01,8.255686000462881813e-01
4.419999999999999432e+02,6.503212174263413303e-02,1.188679641842219081e-01,8.160999140731439727e-01
4.430000000000000000e+02,7.299276942731305895e-02,1.206553272174815811e-01,8.063519033552053461e-01
4.440000000000000000e+02,8.101540439332741150e-02,1.221162406098619257e-01,7.968683549968106350e-01
4.450000000000000000e+02,8.929885388702268889e-02,1.236225400965426102e-01,7.870786060164346454e-01
4.460000000000000000e+02,9.782823392643648364e-02,1.251822494630436267e-01,7.769895166105198481e-01
4.469999999999999432e+02,1.064919404860974889e-01,1.267822175472714807e-01,7.667258419666310720e-01
4.480000000000000000e+02,1.152738556869188358e-01,1.284436275364019830e-01,7.562825167766791257e-01
4.489999999999999432e+02,1.241247071396152507e-01,1.301735449806103451e-01,7.457017478797745014e-01
4.500000000000000000e+02,1.330314538473385266e-01,1.319887284880288947e-01,7.349798176646326064e-01
4.510000000000000000e+02,1.419193326079005724e-01,1.338935232909514439e-01,7.241871441011480393e-01
4.519999999999999432e+02,1.507285820871204496e-01,1.358987660601612413e-01,7.133726518527182536e-01
4.530000000000000000e+02,1.593977777845463628e-01,1.379917010783947851e-01,7.026105211370589076e-01
4.539999999999999432e+02,1.678814443173283211e-01,1.401801152204121548e-01,6.919384404622594964e-01
4.550000000000000000e+02,1.761517333541509633e-01,1.424919712426103435e-01,6.813562954032387209e-01
4.559999999999999432e+02,1.841671010372739892e-01,1.449353635958545161e-01,6.708975353668715780e-01
4.570000000000000000e+02,1.918901934535843234e-01,1.475126779562046797e-01,6.605971285902109136e-01
4.580000000000000000e+02,1.992796596383338836e-01,1.502477729169405529e-01,6.504725674447254802e-01
4.589999999999999432e+02,2.062988629887896608e-01,1.531533520739146725e-01,6.405477849372956944e-01
4.600000000000000000e+02,2.129086684898803816e-01,1.562464862418075084e-01,6.308448452683120822e-01
4.609999999999999432e+02,2.190570135336707969e-01,1.595271727730541711e-01,6.214158136932750320e-01
4.620000000000000000e+02,2.247417367102471086e-01,1.630172352496258026e-01,6.122410280401271443e-01
4.629999999999999432e+02,2.299321092967352709e-01,1.667290949804467737e-01,6.033387957228180110e-01
4.640000000000000000e+02,2.345999239711821227e-01,1.706764617496280279e-01,5.947236142791898494e-01
4.650000000000000000e+02,2.387205696512125219e-01,1.748786893813131793e-01,5.864007409674742988e-01
4.659999999999999432e+02,2.422829124706529225e-01,1.793699746971660069e-01,5.783471128321810983e-01
4.670000000000000000e+02,2.452706188071642202e-01,1.841936637252063191e-01,5.705357174676294330e-01
4.679999999999999432e+02,2.476281550759051875e-01,1.893370053271179743e-01,5.630348395969768660e-01
4.690000000000000000e+02,2.493246864457296652e-01,1.948097988969157979e-01,5.558655146573545647e-01
4.699999999999999432e+02,2.503401201647484364e-01,2.006116489068046349e-01,5.490482309284470119e-01
