wavelength_nm,R
4.000000000000000000e+02,6.946653276524219489e-01
4.010000000000000000e+02,6.922381027614193938e-01
4.020000000000000000e+02,6.895480291632752889e-01
4.030000000000000000e+02,6.866977546593400206e-01
4.039999999999999432e+02,6.836899729522721847e-01
4.050000000000000000e+02,6.804192905293598992e-01
4.059999999999999432e+02,6.769018984512076287e-01
4.070000000000000000e+02,6.731229667749092371e-01
4.080000000000000000e+02,6.691024687696409678e-01
4.089999999999999432e+02,6.649217422036296510e-01
4.100000000000000000e+02,6.604652289421241163e-01
4.109999999999999432e+02,6.557811451498120059e-01
4.120000000000000000e+02,6.508668928500529471e-01
4.130000000000000000e+02,6.456653990423572020e-01
4.140000000000000000e+02,6.402567533769307762e-01
4.150000000000000000e+02,6.345917400639528028e-01
4.159999999999999432e+02,6.286292038456944287e-01
4.170000000000000000e+02,6.224353802305270245e-01
4.179999999999999432e+02,6.159438851431568995e-01
4.190000000000000000e+02,6.091461658969552495e-01
4.200000000000000000e+02,6.020753660580272504e-01
4.209999999999999432e+02,5.946812110398430606e-01
4.220000000000000000e+02,5.869810763315475022e-01
4.229999999999999432e+02,5.790013396340178975e-01
4.240000000000000000e+02,5.706835892803018284e-01
4.249999999999999432e+02,5.620620217065395163e-01
4.260000000000000000e+02,5.532233794194021392e-01
4.270000000000000000e+02,5.440459367119337974e-01
4.279999999999999432e+02,5.345738221194729078e-01
4.290000000000000000e+02,5.248058223292129121e-01
4.299999999999999432e+02,5.146934299821092074e-01
4.310000000000000000e+02,5.042470809869515902e-01
4.319999999999999432e+02,4.934673925300585573e-01
4.330000000000000000e+02,4.823447839941603643e-01
4.340000000000000000e+02,4.709836830950936415e-01
4.349999999999999432e+02,4.593949688066100157e-01
4.360000000000000000e+02,4.473889824976107210e-01
4.369999999999999432e+02,4.349989398324557444e-01
4.380000000000000000e+02,4.221944636133801998e-01
4.389999999999999432e+02,4.090824877167018037e-01
4.399999999999999432e+02,3.957238753256203667e-01
4.410000000000000000e+02,3.824196221478699531e-01
4.419999999999999432e+02,3.688749260308296640e-01
4.430000000000000000e+02,3.551115901933265540e-01
4.440000000000000000e+02,3.411516597046442834e-01
4.450000000000000000e+02,3.270222400457440948e-01
4.460000000000000000e+02,3.126369880643729560e-01
