wavelength_nm,R,T,A
4.000000000000000000e+02,5.115473681995573452e-02,5.050398573090783549e-02,8.983412774491363884e-01
4.010000000000000000e+02,5.590053457931302289e-02,5.291071677519572358e-02,8.911887486454912466e-01
4.020000000000000000e+02,6.146363203499374817e-02,5.541493973073827184e-02,8.831214282342679800e-01
4.030000000000000000e+02,6.786105493787747411e-02,5.799554500547665636e-02,8.741434000566458140e-01
4.039999999999999432e+02,7.510089963555846571e-02,6.064805890613451933e-02,8.642510414583070011e-01
4.050000000000000000e+02,8.318359959087749667e-02,6.338874867168269034e-02,8.534276517374398408e-01
4.059999999999999432e+02,9.207695450089058153e-02,6.620552603039542294e-02,8.417175194687139816e-01
4.070000000000000000e+02,1.017489030261677641e-01,6.909973711222390513e-02,8.291513598616082614e-01
4.080000000000000000e+02,1.121486800647775867e-01,7.206765676771628715e-02,8.157836631675060568e-01
4.089999999999999432e+02,1.232112564203360905e-01,7.510105986583429094e-02,8.016876837138297018e-01
4.100000000000000000e+02,1.348464067140921485e-01,7.821432319773663489e-02,7.869392700881712166e-01
4.109999999999999432e+02,1.469578298381927217e-01,8.139913148719679636e-02,7.716430386746104819e-01
4.120000000000000000e+02,1.594395300298766249e-01,8.465725902526941016e-02,7.559032109448539094e-01
4.130000000000000000e+02,1.721746569329304366e-01,8.800190046025108126e-02,7.398234426068184266e-01
4.140000000000000000e+02,1.845631658169358813e-01,9.102363334268440132e-02,7.244132008403797451e-01
4.150000000000000000e+02,1.966690904308317778e-01,9.397031434523059334e-02,7.093605952239375734e-01
4.159999999999999432e+02,2.085352622962513836e-01,9.700078786879171022e-02,6.944639498349568507e-01
4.170000000000000000e+02,2.200485681707659569e-01,1.001078400011374686e-01,6.798435918280965051e-01
4.179999999999999432e+02,2.310989970100343627e-01,1.033149685388367184e-01,6.655860344511289606e-01
4.190000000000000000e+02,2.415830162991881302e-01,1.066342803825718055e-01,6.517827033182400642e-01
4.200000000000000000e+02,2.514182662802793566e-01,1.100760533001687025e-01,6.385056804195520241e-01
4.209999999999999432e+02,2.604905406505181320e-01,1.136525020936181712e-01,6.258569572558636551e-01
4.220000000000000000e+02,2.687181710024849068e-01,1.173716616281628572e-01,6.139101673693523331e-01
4.229999999999999432e+02,2.760292616924112097e-01,1.212403077243913857e-01,6.027304305831974185e-01
4.240000000000000000e+02,2.823398669103985847e-01,1.252778368746618742e-01,5.923822962149395410e-01
4.249999999999999432e+02,2.875876563090716265e-01,1.294821878266176340e-01,5.829301558643107395e-01
4.260000000000000000e+02,2.917105032227443329e-01,1.338352444158577847e-01,5.744542523613979101e-01
4.270000000000000000e+02,2.946785671529380535e-01,1.383809485847675713e-01,5.669404842622943752e-01
4.279999999999999432e+02,2.964640929938220926e-01,1.431160564441095184e-01,5.604198505620684445e-01
4.290000000000000000e+02,2.970352958680678723e-01,1.480431549682627856e-01,5.549215491636693143e-01
4.299999999999999432e+02,2.963555707743572576e-01,1.531717158854805916e-01,5.504727133401621231e-01
4.310000000000000000e+02,2.944152036961716901e-01,1.584960051290989769e-01,5.470887911747293053e-01
4.319999999999999432e+02,2.912139583135088250e-01,1.640072779153923521e-01,5.447787637710987951e-01
4.330000000000000000e+02,2.867630825801276706e-01,1.696927698760032077e-01,5.435441475438690384e-01
4.340000000000000000e+02,2.811238872674637901e-01,1.755130703420314242e-01,5.433630423905048135e-01
4.349999999999999432e+02,2.743474519498604880e-01,1.814433068217303491e-01,5.442092412284090797e-01
4.360000000000000000e+02,2.664248141039737838e-01,1.874875141439962534e-01,5.460876717520299906e-01
4.369999999999999432e+02,2.574396077222019241e-01,1.935977362661201462e-01,5.489626560116780407e-01
4.380000000000000000e+02,2.474763909474596846e-01,1.997261472325131404e-01,5.527974618200272028e-01
4.389999999999999432e+02,2.367251171474538951e-01,2.057895936796561021e-01,5.574852891728899751e-01
4.399999999999999432e+02,2.253653989161756577e-01,2.117155066409715791e-01,5.629190944428527077e-01
4.410000000000000000e+02,2.137202481600640191e-01,2.174097244258178796e-01,5.688700274141181845e-01
4.419999999999999432e+02,2.018349784033847127e-01,2.228409467369687480e-01,5.753240748596465393e-01
4.430000000000000000e+02,1.898762092341417795e-01,2.277399176474184384e-01,5.823838731184398654e-01
4.440000000000000000e+02,1.780078688560337297e-01,2.314584068780228265e-01,5.905337242659434160e-01
4.450000000000000000e+02,1.666692126333550739e-01,2.346331251653828998e-01,5.986976622012619709e-01
4.460000000000000000e+02,1.560326669551895529e-01,2.371955768081503990e-01,6.067717562366600204e-01
4.469999999999999432e+02,1.464096148356440474e-01,2.391329574373976807e-01,6.144574277269582163e-01
4.480000000000000000e+02,1.378920015880969741e-01,2.404028239024683655e-01,6.217051745094346327e-01
4.489999999999999432e+02,1.306165714470492734e-01,2.409913135550556806e-01,6.283921149978950460e-01
4.500000000000000000e+02,1.246546835575259027e-01,2.408505513970113643e-01,6.344947650454626498e-01
4.510000000000000000e+02,1.201111763477466510e-01,2.400216244598922521e-01,6.398671991923610136e-01
4.519999999999999432e+02,1.170102442230348261e-01,2.385554178998206265e-01,6.444343378771445474e-01
4.530000000000000000e+02,1.153174080816926905e-01,2.365291425722035046e-01,6.481534493461038604e-01
4.539999999999999432e+02,1.149558256213386448e-01,2.340089539694572562e-01,6.510352204092040296e-01
4.550000000000000000e+02,1.158439200458586255e-01,2.310287585386485432e-01,6.531273214154927897e-01
4.559999999999999432e+02,1.178656533748672630e-01,2.276577310658504938e-01,6.544766155592822710e-01
4.570000000000000000e+02,1.208834111103146702e-01,2.239656817896841234e-01,6.551509071000012341e-01
4.580000000000000000e+02,1.247640409586241589e-01,2.200236586287401541e-01,6.552123004126356731e-01
4.589999999999999432e+02,1.293599075452047387e-01,2.158993918198547635e-01,6.547407006349404979e-01
4.600000000000000000e+02,1.345080934441037490e-01,2.116790051668873407e-01,6.538129013890089380e-01
4.609999999999999432e+02,1.400336437956476998e-01,2.074567315008069568e-01,6.525096247035453434e-01
4.620000000000000000e+02,1.458535681868319001e-01,2.032213133422022810e-01,6.509251184709657911e-01
4.629999999999999432e+02,1.518408758963733785e-01,1.990217016624265534e-01,6.491374224412000959e-01
4.640000000000000000e+02,1.578816393233390125e-01,1.948980283498087662e-01,6.472203323268522768e-01
4.650000000000000000e+02,1.638817444304595250e-01,1.908752355492456254e-01,6.452430200202947663e-01
4.659999999999999432e+02,1.698001083833378388e-01,1.869312687129371098e-01,6.432686229037251069e-01
4.670000000000000000e+02,1.755857367710968175e-01,1.830396258678828603e-01,6.413746373610202944e-01
4.679999999999999432e+02,1.810994491797379979e-01,1.793091513007443183e-01,6.395913995195177115e-01
4.690000000000000000e+02,1.862655551771363605e-01,1.757579863744106186e-01,6.379764584484529655e-01
4.699999999999999432e+02,1.910240850050697881e-01,1.724313370578761939e-01,6.365445779370541013e-01
4.709999999999999432e+02,1.952943575229966755e-01,1.693870557976113467e-01,6.353185866793920056e-01
4.720000000000000000e+02,1.991231478169206426e-01,1.665412923437950277e-01,6.343355598392843575e-01
4.729999999999999432e+02,2.024873936630401938e-01,1.638957711687807350e-01,6.336168351681790156e-01
4.740000000000000000e+02,2.054449233054626289e-01,1.613336085221024341e-01,6.332214681724349647e-01
4.749999999999999432e+02,2.079132340588788763e-01,1.589488177557972504e-01,6.331379481853238733e-01
4.760000000000000000e+02,2.098635986858244651e-01,1.567689583099810824e-01,6.333674430041944525e-01
4.769999999999999432e+02,2.112855745395183782e-01,1.547361198421577932e-01,6.339783056183239118e-01
4.779999999999998863e+02,2.121162943079950847e-01,1.526204475550075046e-01,6.352632581369974663e-01
4.790000000000000000e+02,2.124491007862944481e-01,1.506974127226195781e-01,6.368534864910859739e-01
4.799999999999999432e+02,2.122913650895604520e-01,1.489603381952028793e-01,6.387482967152366964e-01
4.809999999999999432e+02,2.116569767669777280e-01,1.473842483660759428e-01,6.409587748669463014e-01
4.820000000000000000e+02,2.105538852878801881e-01,1.459560236323907967e-01,6.434900910797289875e-01
4.829999999999999432e+02,2.089858349072857002e-01,1.446973291144487972e-01,6.463168359782655026e-01
4.839999999999999432e+02,2.069672994586866099e-01,1.436013571960120250e-01,6.494313433453013928e-01
4.850000000000000000e+02,2.045213007598123411e-01,1.426639594778977560e-01,6.528147397622898751e-01
4.860000000000000000e+02,2.016636954771735546e-01,1.418757431513464062e-01,6.564605613714800114e-01
4.869999999999999432e+02,1.983853259627085253e-01,1.412148016064163902e-01,6.603998724308750568e-01
4.880000000000000568e+02,1.947244216714420217e-01,1.406834753405407090e-01,6.645921029880172970e-01
4.890000000000000000e+02,1.907170337728133214e-01,1.402799011915989436e-01,6.690030650355877073e-01
4.899999999999999432e+02,1.863834179244318878e-01,1.399981389011386579e-01,6.736184431744294265e-01
4.909999999999999432e+02,1.817482994386433182e-01,1.398320816305076431e-01,6.784196189308490110e-01
4.920000000000000000e+02,1.768386074826044652e-01,1.397755712509557713e-01,6.833858212664397636e-01
4.930000000000000000e+02,1.716820197912926338e-01,1.398132402927158291e-01,6.885047399159915926e-01
4.939999999999999432e+02,1.663093269702809185e-01,1.399483574579296064e-01,6.937423155717894474e-01
4.949999999999999432e+02,1.607531651478558143e-01,1.401746215943654728e-01,6.990722132577787962e-01
4.960000000000000000e+02,1.550495028604551850e-01,1.404849747874017951e-01,7.044655223521429921e-01
4.969999999999999432e+02,1.492471310022781272e-01,1.408332747110874472e-01,7.099195942866344256e-01
4.979999999999999432e+02,1.433796198299011893e-01,1.412509792176934176e-01,7.153694009524054209e-01
4.990000000000000000e+02,1.374875451742836874e-01,1.417312577864045520e-01,7.207811970393118717e-01
5.000000000000000000e+02,1.316116723413954248e-01,1.422656610048569081e-01,7.261226666537476948e-01
5.009999999999999432e+02,1.258043090345932202e-01,1.428455058411192968e-01,7.313501851242873997e-01
5.020000000000000000e+02,1.201036222230808387e-01,1.434663997911466704e-01,7.364299779857725881e-01
5.030000000000000000e+02,1.145562928116529572e-01,1.441209637172609082e-01,7.413227434710861763e-01
5.039999999999999432e+02,1.092100171924503121e-01,1.448016951091108950e-01,7.459882876984388345e-01
5.049999999999999432e+02,1.041485256374958535e-01,1.455122885344545258e-01,7.503391858280495930e-01
5.060000000000000000e+02,9.936351613030523777e-02,1.462246813147068669e-01,7.544118025549878537e-01
5.070000000000000000e+02,9.494403420271338434e-02,1.469351946464942382e-01,7.581207711507924607e-01
5.079999999999999432e+02,9.092145369371112951e-02,1.476400215845404262e-01,7.614385247217485553e-01
5.089999999999998863e+02,8.729818261826906289e-02,1.483152317697789269e-01,7.643865856119520519e-01
5.100000000000000000e+02,8.415812544714962318e-02,1.489700228129834381e-01,7.668718517398669388e-01
5.109999999999999432e+02,8.154937840346353217e-02,1.495990776090657670e-01,7.688515439874706869e-01
5.119999999999999432e+02,7.951255384075595067e-02,1.501953888053813579e-01,7.702920573538627469e-01
5.130000000000000000e+02,7.810022829643151199e-02,1.507500827414729461e-01,7.711496889620955697e-01
5.140000000000000000e+02,7.733309728606083122e-02,1.512575486709790973e-01,7.714093540429600715e-01
5.149999999999998863e+02,7.723230317941820466e-02,1.517129711420709126e-01,7.710547256785108550e-01
5.160000000000000000e+02,7.782837668981694434e-02,1.521166528845163124e-01,7.700549704256667294e-01
5.170000000000000000e+02,7.914710294030585791e-02,1.523420698699320674e-01,7.685108271897620469e-01
5.180000000000000000e+02,8.115357755388366567e-02,1.523557603061738153e-01,7.664906621399425468e-01
5.189999999999998863e+02,8.381179096414054230e-02,1.523121462423770167e-01,7.638760627934825242e-01
5.200000000000000000e+02,8.712036468817441204e-02,1.522098411703742271e-01,7.606697941414513053e-01
5.210000000000000000e+02,9.107675546750113038e-02,1.520426999465989415e-01,7.568805445858999281e-01
5.219999999999998863e+02,9.566859592847644367e-02,1.518111108000649578e-01,7.525202932714586401e-01
5.229999999999998863e+02,1.008820619365618926e-01,1.515206741587236949e-01,7.475972639047143709e-01
5.240000000000000000e+02,1.066974163576112494e-01,1.511725217703079605e-01,7.421300618720808595e-01
5.250000000000000000e+02,1.130909275853581031e-01,1.507683653325353479e-01,7.361407070821065490e-01
5.259999999999998863e+02,1.200238897522469539e-01,1.503124783291052979e-01,7.296636319186476927e-01
5.270000000000000000e+02,1.274780940536253404e-01,1.498039845481252130e-01,7.227179213982495298e-01
5.280000000000000000e+02,1.354147727221228226e-01,1.492500112680726909e-01,7.153352160098044310e-01
5.289999999999998863e+02,1.437932884409265921e-01,1.486565262198294990e-01,7.075501853392439644e-01
5.300000000000000000e+02,1.525816416405430531e-01,1.480232175765406333e-01,6.993951407829164246e-01
5.310000000000000000e+02,1.617203144427935835e-01,1.473556732991300189e-01,6.909240122580764254e-01
5.320000000000000000e+02,1.711883551924383851e-01,1.466562885894102386e-01,6.821553562181513763e-01
5.330000000000000000e+02,1.809464268469788972e-01,1.459295997600788264e-01,6.731239733929422764e-01
5.340000000000000000e+02,1.909552117176916974e-01,1.451802534308480053e-01,6.638645348514602418e-01
5.350000000000000000e+02,2.011711987632187337e-01,1.444032615429372002e-01,6.544255396938440938e-01
5.359999999999998863e+02,2.115879543679788088e-01,1.436034722844818923e-01,6.448085733475392711e-01
5.369999999999998863e+02,2.221434694341276883e-01,1.427955898674038715e-01,6.350609406984684124e-01
5.380000000000000000e+02,2.328016005149646517e-01,1.419842753022962922e-01,6.252141241827390283e-01
5.389999999999998863e+02,2.435277099289634983e-01,1.411740940252264598e-01,6.152981960458101529e-01
5.399999999999998863e+02,2.543134353002654557e-01,1.403610299136979211e-01,6.053255347860366786e-01
5.410000000000000000e+02,2.650717771614137797e-01,1.395595879297220065e-01,5.953686349088642693e-01
5.420000000000000000e+02,2.758029168456071489e-01,1.387727017462368484e-01,5.854243814081561137e-01
5.429999999999998863e+02,2.864798348894866953e-01,1.380043066422279030e-01,5.755158584682853462e-01
5.440000000000000000e+02,2.970743252573845861e-01,1.372573138726220221e-01,5.656683608699932808e-01
5.450000000000000000e+02,3.075535659226938390e-01,1.365326639140968801e-01,5.559137701632093087e-01
5.459999999999998863e+02,3.179093554057842996e-01,1.358369879175982398e-01,5.462536566766174051e-01
5.470000000000000000e+02,3.281227885047932613e-01,1.351734438744221500e-01,5.367037676207846442e-01
5.480000000000000000e+02,3.381768519493421055e-01,1.345450020805551983e-01,5.272781459701026963e-01
5.490000000000000000e+02,3.480759932999321071e-01,1.339549414925363668e-01,5.179690652075314983e-01
5.499999999999998863e+02,3.578171959834308136e-01,1.334065715216565529e-01,5.087762324949125503e-01
5.510000000000000000e+02,3.673592416704627994e-01,1.329018290057893403e-01,4.997389293237479158e-01
5.520000000000000000e+02,3.766844779258093912e-01,1.324463220594302715e-01,4.908692000147603096e-01
5.529999999999998863e+02,3.857903101034418913e-01,1.320393381652116005e-01,4.821703517313464804e-01
5.539999999999998863e+02,3.946337741169470004e-01,1.316746021000240463e-01,4.736916237830289811e-01
5.550000000000000000e+02,4.032087691196614698e-01,1.313531955889585823e-01,4.654380352913798924e-01
5.560000000000000000e+02,4.115464687808162436e-01,1.310845570303343643e-01,4.573689741888493643e-01
5.569999999999998863e+02,4.196428220117248142e-01,1.308703807940754527e-01,4.494867971941998164e-01
5.580000000000000000e+02,4.274946905235418315e-01,1.307122837034827567e-01,4.417930257729754118e-01
5.590000000000000000e+02,4.351241246452947631e-01,1.306144398917143123e-01,4.342614354629908968e-01
5.599999999999998863e+02,4.425292289970880755e-01,1.305790492041118411e-01,4.268917217988000279e-01
5.610000000000000000e+02,4.496844837748912305e-01,1.306052163717565384e-01,4.197102998533522311e-01
5.620000000000000000e+02,4.565893960469841195e-01,1.306944148753938773e-01,4.127161890776219755e-01
5.630000000000000000e+02,4.632439757295849225e-01,1.308481030950432999e-01,4.059079211753717220e-01
5.640000000000000000e+02,4.694705589996097106e-01,1.310409081321326219e-01,3.994885328682575842e-01
5.650000000000000000e+02,4.752330362266015684e-01,1.312689063901712749e-01,3.934980573832271844e-01
5.660000000000000000e+02,4.807541925418714057e-01,1.315638528073235503e-01,3.876819546508050163e-01
5.669999999999998863e+02,4.860354965254830573e-01,1.319269447489974934e-01,3.820375587255194771e-01
5.679999999999998863e+02,4.910785595638376133e-01,1.323594146693506390e-01,3.765620257668117477e-01
5.690000000000000000e+02,4.958934793252692264e-01,1.328612883561346436e-01,3.712452323185961856e-01
5.699999999999998863e+02,5.004931657888634922e-01,1.334325849229386629e-01,3.660742492881978727e-01
5.709999999999998863e+02,5.048598112225962664e-01,1.340778123273736466e-01,3.610623764500300870e-01
5.720000000000000000e+02,5.089951887234822614e-01,1.347984401024801271e-01,3.562063711740376393e-01
5.730000000000000000e+02,5.129010457188335481e-01,1.355960104081171680e-01,3.515029438730492561e-01
