

Wavelength (nm), Reflectance
544.218, 0.0795246
543.294, 0.0815306
542.373, 0.0834755
541.455, 0.0853342
540.541, 0.087088
539.629, 0.0887191
538.721, 0.0901882
537.815, 0.0914632
536.913, 0.0925647
536.013, 0.093478
535.117, 0.0941898
534.224, 0.0946896
533.333, 0.094973
532.446, 0.0950198
531.561, 0.0948199
530.68, 0.0943647
529.801, 0.0936474
528.926, 0.0926653
528.053, 0.0914037
527.183, 0.0898591
526.316, 0.0880297
525.452, 0.0859155
524.59, 0.0835224
523.732, 0.0808542
522.876, 0.0779172
522.023, 0.074721
521.173, 0.0712776
520.325, 0.0676033
519.481, 0.0637158
518.639, 0.0596365
517.799, 0.0553912
516.963, 0.0510096
516.129, 0.0465142
515.298, 0.0419475
514.469, 0.0373629
513.644, 0.0328069
512.821, 0.0283297
512, 0.0239754
511.182, 0.0197942
510.367, 0.0158626
509.554, 0.0122422
508.744, 0.00899522
507.937, 0.0061879
507.132, 0.00389254
506.329, 0.00213769
505.529, 0.00097424
504.732, 0.000447651
503.937, 0.000596886
503.145, 0.00146034
502.355, 0.00306417
501.567, 0.00542144
500.782, 0.00853485
500, 0.0123965
499.22, 0.0169712
498.442, 0.0222398
497.667, 0.0281672
496.894, 0.0347076
496.124, 0.0418083
495.356, 0.0494283
494.59, 0.0574949
493.827, 0.0659338
493.066, 0.0746756
492.308, 0.0836506
491.551, 0.0927846
490.798, 0.102012
490.046, 0.111274
489.297, 0.120509
488.55, 0.129662
487.805, 0.138685
487.062, 0.147534
486.322, 0.156159
485.584, 0.164527
484.848, 0.172602
484.115, 0.180366
483.384, 0.187812
482.655, 0.194891
481.928, 0.201589
481.203, 0.207892
480.48, 0.213784
479.76, 0.219234
479.042, 0.224277
478.326, 0.228913
477.612, 0.23314
476.9, 0.23696
476.19, 0.240087
475.483, 0.242774
474.777, 0.245055
474.074, 0.246936
473.373, 0.248428
472.674, 0.249536
471.976, 0.25028
471.281, 0.25067
470.588, 0.250714
469.897, 0.250423
469.208, 0.249802
468.521, 0.24886
467.836, 0.247607
467.153, 0.246051
466.472, 0.244203
465.793, 0.242084
465.116, 0.239707
464.441, 0.237071
463.768, 0.234186
463.097, 0.231061
462.428, 0.227706
461.76, 0.224128
461.095, 0.220341
460.432, 0.216355
459.77, 0.212179
459.11, 0.207827
458.453, 0.203313
457.797, 0.198643
457.143, 0.193827
456.491, 0.188876
455.84, 0.183802
455.192, 0.178619
454.545, 0.173335
453.901, 0.167964
453.258, 0.162517
452.617, 0.157006
451.977, 0.151427
451.34, 0.145805
450.704, 0.140157
450.07, 0.134496
449.438, 0.128834
448.808, 0.123201
448.179, 0.117602
447.552, 0.112039
446.927, 0.106523
446.304, 0.101067
445.682, 0.0956721
445.063, 0.0903498
444.444, 0.0851223
443.828, 0.0799999
443.213, 0.0749929
442.6, 0.0700755
441.989, 0.0652251
441.379, 0.0605351
440.771, 0.0560123
440.165, 0.0516626
439.56, 0.0474893
438.957, 0.0434928
438.356, 0.0396832
437.756, 0.036063
437.158, 0.0326342
436.562, 0.0293983
435.967, 0.0263645
435.374, 0.0235187
434.783, 0.0208616
434.193, 0.0183917
433.604, 0.0161062
433.018, 0.0139977
432.432, 0.0120658
431.849, 0.0103067
431.267, 0.00871516
430.686, 0.00728535
430.108, 0.00601094
429.53, 0.00488534
428.954, 0.00390162
428.38, 0.00305251
427.807, 0.00233049
427.236, 0.00172886
426.667, 0.00123875
426.099, 0.000851073
425.532, 0.000558022
424.967, 0.000351818
424.403, 0.000224731
423.841, 0.000169335
423.28, 0.000178136
422.721, 0.000243705
422.164, 0.0003588
421.607, 0.000516402
421.053, 0.000709813
420.499, 0.00093251
419.948, 0.00117826
419.397, 0.00144112
418.848, 0.00171545
418.301, 0.00199588
417.755, 0.00227765
417.21, 0.00255617
416.667, 0.00282723
416.125, 0.00308696
415.584, 0.00333257
415.045, 0.00356029
414.508, 0.00376731
413.972, 0.00395124
413.437, 0.00411006
412.903, 0.00423055
412.371, 0.00431667
411.84, 0.00437297
411.311, 0.00439921
410.783, 0.00439549
410.256, 0.00436276
409.731, 0.00430183
409.207, 0.00421323
408.685, 0.00409835
408.163, 0.00395886
407.643, 0.00379715
407.125, 0.003616
406.607, 0.00341681
406.091, 0.00320225
405.577, 0.00297519
405.063, 0.00273868
404.551, 0.00249577
404.04, 0.00224957
