bottom_cd_m,sidewall_angle_deg,R,T
4.799999999999999571e-07,0.000000000000000000e+00,2.161675537301152583e-01,7.838324462698853523e-01
3.999999999999999819e-07,4.969740728110302541e+00,7.193362461823877840e-01,2.806637538176181002e-01
3.200000000000000067e-07,9.865806943084365344e+00,9.529469486824679869e-01,4.705305131753423353e-02
2.399999999999999786e-07,1.462087398863165610e+01,4.714399451815454167e-01,5.285600548184503644e-01
1.600000000000000033e-07,1.917900802581072028e+01,6.175841804514918820e-01,3.824158195485088951e-01
