wavelength_nm,R
4.000000000000000000e+02,7.111531065452509903e-01
4.010000000000000000e+02,7.142017571062574399e-01
4.020000000000000000e+02,7.169766464546921680e-01
4.030000000000000000e+02,7.194880856057954688e-01
4.039999999999999432e+02,7.217455401417134375e-01
4.050000000000000000e+02,7.237576756229232577e-01
4.059999999999999432e+02,7.255324004306404895e-01
4.070000000000000000e+02,7.270791814148966914e-01
4.080000000000000000e+02,7.284046674568163127e-01
4.089999999999999432e+02,7.295116632319458283e-01
4.100000000000000000e+02,7.304054476907279048e-01
4.109999999999999432e+02,7.310907149001206751e-01
4.120000000000000000e+02,7.315716020083027349e-01
4.130000000000000000e+02,7.318517150023127193e-01
4.140000000000000000e+02,7.318656644828122060e-01
4.150000000000000000e+02,7.316505560663911778e-01
4.159999999999999432e+02,7.312420762166512711e-01
4.170000000000000000e+02,7.306417662051669648e-01
4.179999999999999432e+02,7.298507372358022938e-01
4.190000000000000000e+02,7.288696855420464527e-01
4.200000000000000000e+02,7.276989062194789692e-01
4.209999999999999432e+02,7.263273941708896508e-01
4.220000000000000000e+02,7.247596896082036944e-01
4.229999999999999432e+02,7.230004975945030221e-01
4.240000000000000000e+02,7.210486003936081856e-01
4.249999999999999432e+02,7.189024338765028777e-01
4.260000000000000000e+02,7.165871872355050742e-01
4.270000000000000000e+02,7.140771149532715301e-01
4.279999999999999432e+02,7.113852001422896754e-01
4.290000000000000000e+02,7.085157133265380658e-01
4.299999999999999432e+02,7.054435431147910718e-01
4.310000000000000000e+02,7.021654166158922683e-01
4.319999999999999432e+02,6.986777919349103083e-01
4.330000000000000000e+02,6.949768703104193257e-01
4.340000000000000000e+02,6.910586096740456430e-01
4.349999999999999432e+02,6.869187399518446036e-01
4.360000000000000000e+02,6.825194560856030490e-01
4.369999999999999432e+02,6.778864649164395573e-01
4.380000000000000000e+02,6.730134812916380715e-01
4.389999999999999432e+02,6.678953744119507929e-01
4.399999999999999432e+02,6.625268980099617844e-01
4.410000000000000000e+02,6.570190031241791573e-01
4.419999999999999432e+02,6.512598899666444119e-01
4.430000000000000000e+02,6.452479732571252402e-01
4.440000000000000000e+02,6.389961573468611045e-01
4.450000000000000000e+02,6.324785249954728572e-01
4.460000000000000000e+02,6.256195854294637204e-01
4.469999999999999432e+02,6.184803241711229749e-01
4.480000000000000000e+02,6.110565028585723812e-01
4.489999999999999432e+02,6.033443152611145388e-01
4.500000000000000000e+02,5.953404923934807469e-01
4.510000000000000000e+02,5.870419347578926805e-01
4.519999999999999432e+02,5.784424245027877109e-01
4.530000000000000000e+02,5.695459815444945395e-01
4.539999999999999432e+02,5.603527830843099133e-01
4.550000000000000000e+02,5.508642570805653005e-01
4.559999999999999432e+02,5.410832652938803999e-01
4.570000000000000000e+02,5.310142996041475882e-01
4.580000000000000000e+02,5.206636907902437716e-01
4.589999999999999432e+02,5.100398284455022191e-01
4.600000000000000000e+02,4.991278692107162795e-01
4.609999999999999432e+02,4.880692584934518963e-01
4.620000000000000000e+02,4.767815391047334761e-01
4.629999999999999432e+02,4.652830189909440972e-01
4.640000000000000000e+02,4.535950882663433714e-01
4.650000000000000000e+02,4.417424237170433643e-01
4.659999999999999432e+02,4.296333271033999091e-01
4.670000000000000000e+02,4.174178805582837160e-01
4.679999999999999432e+02,4.051314825864442692e-01
4.690000000000000000e+02,3.928012668378040861e-01
4.699999999999999432e+02,3.804866540871376657e-01
4.709999999999999432e+02,3.683558344207945590e-01
4.720000000000000000e+02,3.563388446054487901e-01
4.729999999999999432e+02,3.444901585763153196e-01
4.740000000000000000e+02,3.328674159414318767e-01
4.749999999999999432e+02,3.215310143778346008e-01
4.760000000000000000e+02,3.105435976026760247e-01
4.769999999999999432e+02,2.999712067367881763e-01
4.779999999999998863e+02,2.898991058613223926e-01
4.790000000000000000e+02,2.803739123004580502e-01
4.799999999999999432e+02,2.714606644324266127e-01
4.809999999999999432e+02,2.632226435145168519e-01
4.820000000000000000e+02,2.557203619799593430e-01
4.829999999999999432e+02,2.490105358366878074e-01
4.839999999999999432e+02,2.431450711186877167e-01
4.850000000000000000e+02,2.381700964322689407e-01
4.860000000000000000e+02,2.341250742397771589e-01
4.869999999999999432e+02,2.310170599085299425e-01
4.880000000000000568e+02,2.288892883252697796e-01
4.890000000000000000e+02,2.277669739733305110e-01
4.899999999999999432e+02,2.276566204410993555e-01
4.909999999999999432e+02,2.285557003570650447e-01
4.920000000000000000e+02,2.304527540221548432e-01
4.930000000000000000e+02,2.333276818394262042e-01
4.939999999999999432e+02,2.371522179525122898e-01
4.949999999999999432e+02,2.418905655740824778e-01
4.960000000000000000e+02,2.475001688094567998e-01
4.969999999999999432e+02,2.538559041216169598e-01
4.979999999999999432e+02,2.609850963542398317e-01
4.990000000000000000e+02,2.688300195279698657e-01
5.000000000000000000e+02,2.773300283332000293e-01
5.009999999999999432e+02,2.863230286080611364e-01
5.020000000000000000e+02,2.958352024381252776e-01
5.030000000000000000e+02,3.058048819861634571e-01
5.039999999999999432e+02,3.161710976758849712e-01
5.049999999999999432e+02,3.268742595191316824e-01
5.060000000000000000e+02,3.379745630177218296e-01
5.070000000000000000e+02,3.492629058100035766e-01
5.079999999999999432e+02,3.607202663049567937e-01
5.089999999999998863e+02,3.723015470313097985e-01
5.100000000000000000e+02,3.839596785257923806e-01
5.109999999999999432e+02,3.956512202885059670e-01
5.119999999999999432e+02,4.073364184872371729e-01
5.130000000000000000e+02,4.189791989913598247e-01
5.140000000000000000e+02,4.305471058657346362e-01
5.149999999999998863e+02,4.420111951688265872e-01
5.160000000000000000e+02,4.532284021306752786e-01
5.170000000000000000e+02,4.642813891225161527e-01
5.180000000000000000e+02,4.751357300379140391e-01
5.189999999999998863e+02,4.858082344204447400e-01
5.200000000000000000e+02,4.962854039277289075e-01
5.210000000000000000e+02,5.066633244392336755e-01
5.219999999999998863e+02,5.168208016341583333e-01
5.229999999999998863e+02,5.267504176066205579e-01
5.240000000000000000e+02,5.364465379371101683e-01
5.250000000000000000e+02,5.459051274916689733e-01
5.259999999999998863e+02,5.550287474372039842e-01
5.270000000000000000e+02,5.639159851294800463e-01
5.280000000000000000e+02,5.725576077941592068e-01
5.289999999999998863e+02,5.809463605896477700e-01
5.300000000000000000e+02,5.891014305939895612e-01
5.310000000000000000e+02,5.970250105209792268e-01
5.320000000000000000e+02,6.047198900231037788e-01
5.330000000000000000e+02,6.121893644560851833e-01
5.340000000000000000e+02,6.194371527640490926e-01
5.350000000000000000e+02,6.264673238996177895e-01
5.359999999999998863e+02,6.333547332966753540e-01
5.369999999999998863e+02,6.400290070758439809e-01
5.380000000000000000e+02,6.464950545118299807e-01
5.389999999999998863e+02,6.527579182466800578e-01
5.399999999999998863e+02,6.588091730186643735e-01
5.410000000000000000e+02,6.646058347526703214e-01
5.420000000000000000e+02,6.702189188059134439e-01
5.429999999999998863e+02,6.756534735859806018e-01
5.440000000000000000e+02,6.809145215475865820e-01
5.450000000000000000e+02,6.860070402371561959e-01
5.459999999999998863e+02,6.909359462574878874e-01
5.470000000000000000e+02,6.957060818234844790e-01
5.480000000000000000e+02,7.003222036100751335e-01
5.490000000000000000e+02,7.047889736217186618e-01
5.499999999999998863e+02,7.091109518393352573e-01
5.510000000000000000e+02,7.132925904250394522e-01
