wavelength_nm,R
4.000000000000000000e+02,1.959260242866813495e-01
4.010000000000000000e+02,1.982997078235663180e-01
4.020000000000000000e+02,2.014673155108506475e-01
4.030000000000000000e+02,2.054866554246666532e-01
4.039999999999999432e+02,2.102873286665496444e-01
4.050000000000000000e+02,2.156785044332876211e-01
4.059999999999999432e+02,2.215593406670909038e-01
4.070000000000000000e+02,2.278774326035517273e-01
4.080000000000000000e+02,2.346214361716927321e-01
4.089999999999999432e+02,2.418760823723497821e-01
4.100000000000000000e+02,2.493892732103813181e-01
4.109999999999999432e+02,2.571689156153315059e-01
4.120000000000000000e+02,2.651605272066339114e-01
4.130000000000000000e+02,2.732452929886421411e-01
4.140000000000000000e+02,2.814231658622135535e-01
4.150000000000000000e+02,2.896221682790096064e-01
4.159999999999999432e+02,2.977822182674806362e-01
4.170000000000000000e+02,3.059267068113115107e-01
4.179999999999999432e+02,3.139722545609492932e-01
4.190000000000000000e+02,3.218974488569835146e-01
4.200000000000000000e+02,3.297826677371629156e-01
4.209999999999999432e+02,3.374891267768488912e-01
4.220000000000000000e+02,3.450285647296618130e-01
4.229999999999999432e+02,3.524260254690735339e-01
4.240000000000000000e+02,3.595968568740167681e-01
4.249999999999999432e+02,3.665245974572879928e-01
4.260000000000000000e+02,3.731465542660399870e-01
4.270000000000000000e+02,3.795191192688147086e-01
4.279999999999999432e+02,3.856978556299440752e-01
4.290000000000000000e+02,3.916788249983593206e-01
4.299999999999999432e+02,3.973980319136878325e-01
4.310000000000000000e+02,4.028664683050748874e-01
4.319999999999999432e+02,4.080832320810496294e-01
4.330000000000000000e+02,4.130352990468912355e-01
4.340000000000000000e+02,4.177657132596293565e-01
4.349999999999999432e+02,4.222781652905356342e-01
4.360000000000000000e+02,4.265675700545422666e-01
4.369999999999999432e+02,4.306217584737611070e-01
4.380000000000000000e+02,4.344517362224409873e-01
4.389999999999999432e+02,4.380226914429422025e-01
4.399999999999999432e+02,4.413480825502590910e-01
4.410000000000000000e+02,4.443938467196380526e-01
4.419999999999999432e+02,4.471988962759653741e-01
4.430000000000000000e+02,4.497889622017244848e-01
4.440000000000000000e+02,4.522337503640644907e-01
4.450000000000000000e+02,4.544456415560008677e-01
4.460000000000000000e+02,4.564465658838829931e-01
4.469999999999999432e+02,4.581832518272942467e-01
4.480000000000000000e+02,4.596986255067704308e-01
4.489999999999999432e+02,4.609959271497890976e-01
4.500000000000000000e+02,4.621399150892461782e-01
4.510000000000000000e+02,4.630828700992928870e-01
4.519999999999999432e+02,4.638118902772331853e-01
4.530000000000000000e+02,4.643439813753049705e-01
4.539999999999999432e+02,4.646855392091146508e-01
4.550000000000000000e+02,4.648264288492966467e-01
4.559999999999999432e+02,4.647789159064014131e-01
4.570000000000000000e+02,4.645747088225155030e-01
4.580000000000000000e+02,4.641781868838387171e-01
4.589999999999999432e+02,4.635917709636078188e-01
4.600000000000000000e+02,4.628583391803608449e-01
4.609999999999999432e+02,4.619526284285795370e-01
4.620000000000000000e+02,4.608672953660389870e-01
4.629999999999999432e+02,4.596050431519562718e-01
4.640000000000000000e+02,4.581687486686052413e-01
4.650000000000000000e+02,4.565597011775777148e-01
4.659999999999999432e+02,4.547717729246139040e-01
4.670000000000000000e+02,4.528514825865689875e-01
4.679999999999999432e+02,4.507606468946382394e-01
4.690000000000000000e+02,4.484964664810005552e-01
4.699999999999999432e+02,4.460685707941025591e-01
4.709999999999999432e+02,4.435000252577924740e-01
4.720000000000000000e+02,4.407706454736541324e-01
4.729999999999999432e+02,4.378822151007452645e-01
4.740000000000000000e+02,4.348459816072630102e-01
4.749999999999999432e+02,4.316492594374237712e-01
4.760000000000000000e+02,4.282906904794178127e-01
4.769999999999999432e+02,4.247820391122241745e-01
4.779999999999998863e+02,4.212099613745162174e-01
4.790000000000000000e+02,4.174920725507287322e-01
4.799999999999999432e+02,4.136304697687945287e-01
4.809999999999999432e+02,4.096061440610356263e-01
4.820000000000000000e+02,4.054070086946054974e-01
4.829999999999999432e+02,4.010656158586220488e-01
4.839999999999999432e+02,3.965844724917107489e-01
4.850000000000000000e+02,3.920208767703244335e-01
4.860000000000000000e+02,3.873485078545049753e-01
4.869999999999999432e+02,3.825472350484306339e-01
4.880000000000000568e+02,3.776201381501514409e-01
4.890000000000000000e+02,3.725944768720558797e-01
4.899999999999999432e+02,3.674530341774990827e-01
4.909999999999999432e+02,3.621967966825987983e-01
4.920000000000000000e+02,3.568295856162242430e-01
4.930000000000000000e+02,3.513640196603269317e-01
4.939999999999999432e+02,3.457951598838497898e-01
4.949999999999999432e+02,3.401275023281877252e-01
4.960000000000000000e+02,3.343720624565861832e-01
4.969999999999999432e+02,3.285846548387234001e-01
4.979999999999999432e+02,3.227144525855530910e-01
4.990000000000000000e+02,3.167668697707735626e-01
5.000000000000000000e+02,3.107456663508709194e-01
5.009999999999999432e+02,3.046807047667307589e-01
5.020000000000000000e+02,2.985553479924719644e-01
5.030000000000000000e+02,2.923760137314385110e-01
5.039999999999999432e+02,2.861493839349229518e-01
5.049999999999999432e+02,2.799631474036147205e-01
5.060000000000000000e+02,2.737044966867328566e-01
5.070000000000000000e+02,2.674218790042893756e-01
5.079999999999999432e+02,2.611228371623620093e-01
5.089999999999998863e+02,2.547306456420448395e-01
5.100000000000000000e+02,2.483266768732997898e-01
5.109999999999999432e+02,2.419288934245129585e-01
5.119999999999999432e+02,2.355461883243814003e-01
5.130000000000000000e+02,2.292605925390239774e-01
5.140000000000000000e+02,2.230393088299712501e-01
5.149999999999998863e+02,2.168600352532328857e-01
