wavelength_nm,R
4.000000000000000000e+02,1.238626428936231150e-01
4.010000000000000000e+02,1.262920641302746338e-01
4.020000000000000000e+02,1.289495831538012005e-01
4.030000000000000000e+02,1.318050835204764848e-01
4.039999999999999432e+02,1.348347963849390319e-01
4.050000000000000000e+02,1.380182875209459981e-01
4.059999999999999432e+02,1.413096853116972140e-01
4.070000000000000000e+02,1.446887441034783173e-01
4.080000000000000000e+02,1.481315514481919560e-01
4.089999999999999432e+02,1.516212348870907278e-01
4.100000000000000000e+02,1.551066095757178132e-01
4.109999999999999432e+02,1.585585033531062837e-01
4.120000000000000000e+02,1.619450175674831405e-01
4.130000000000000000e+02,1.652282941033997865e-01
4.140000000000000000e+02,1.680945570250992060e-01
4.150000000000000000e+02,1.706441803612152586e-01
4.159999999999999432e+02,1.729497658823466177e-01
4.170000000000000000e+02,1.749967251186607953e-01
4.179999999999999432e+02,1.767611637907303412e-01
4.190000000000000000e+02,1.782263265213931969e-01
4.200000000000000000e+02,1.793883051511443172e-01
4.209999999999999432e+02,1.802183303287783200e-01
4.220000000000000000e+02,1.807088280251862578e-01
4.229999999999999432e+02,1.808558046801158614e-01
4.240000000000000000e+02,1.806412605068033195e-01
4.249999999999999432e+02,1.800658600440365187e-01
4.260000000000000000e+02,1.791326341445276249e-01
4.270000000000000000e+02,1.778309108658941151e-01
4.279999999999999432e+02,1.761682497960270488e-01
4.290000000000000000e+02,1.741455106024728805e-01
4.299999999999999432e+02,1.717580357161252458e-01
4.310000000000000000e+02,1.690128748743806864e-01
4.319999999999999432e+02,1.659172079566419988e-01
4.330000000000000000e+02,1.624787174805614187e-01
4.340000000000000000e+02,1.587331397617601503e-01
4.349999999999999432e+02,1.546963474438752817e-01
4.360000000000000000e+02,1.503605660552363443e-01
4.369999999999999432e+02,1.457173727172794420e-01
4.380000000000000000e+02,1.407695745953229105e-01
4.389999999999999432e+02,1.355785254247922067e-01
4.399999999999999432e+02,1.301836744094226617e-01
4.410000000000000000e+02,1.246319353828506254e-01
4.419999999999999432e+02,1.189255203960844498e-01
4.430000000000000000e+02,1.131081448346791529e-01
4.440000000000000000e+02,1.072784509234337574e-01
4.450000000000000000e+02,1.014683873932606673e-01
4.460000000000000000e+02,9.572009572445593084e-02
4.469999999999999432e+02,9.014599808741753650e-02
4.480000000000000000e+02,8.471771262881368225e-02
4.489999999999999432e+02,7.947877175313482201e-02
4.500000000000000000e+02,7.441505303484628742e-02
4.510000000000000000e+02,6.962024807285861761e-02
4.519999999999999432e+02,6.515453497866170729e-02
4.530000000000000000e+02,6.108107912941920098e-02
4.539999999999999432e+02,5.743270460705118124e-02
4.550000000000000000e+02,5.422552995278692722e-02
4.559999999999999432e+02,5.149363037063129506e-02
4.570000000000000000e+02,4.926407447919685378e-02
4.580000000000000000e+02,4.756963738506194556e-02
4.589999999999999432e+02,4.643427074910366770e-02
4.600000000000000000e+02,4.586911437256629281e-02
4.609999999999999432e+02,4.589238418968105693e-02
4.620000000000000000e+02,4.651494709546692002e-02
4.629999999999999432e+02,4.773877317202643994e-02
4.640000000000000000e+02,4.955951687441817466e-02
4.650000000000000000e+02,5.197166901622340962e-02
4.659999999999999432e+02,5.496261926256744423e-02
4.670000000000000000e+02,5.857497139543847708e-02
4.679999999999999432e+02,6.275240675750730357e-02
4.690000000000000000e+02,6.746157088492922560e-02
4.699999999999999432e+02,7.263726320191297992e-02
4.709999999999999432e+02,7.821816921982059634e-02
4.720000000000000000e+02,8.421280607196743317e-02
4.729999999999999432e+02,9.058163696554744071e-02
4.740000000000000000e+02,9.745674015539435020e-02
4.749999999999999432e+02,1.046845846118367312e-01
4.760000000000000000e+02,1.121775473006414309e-01
4.769999999999999432e+02,1.198221435676059543e-01
4.779999999999998863e+02,1.271261414426334002e-01
4.790000000000000000e+02,1.344813627112774190e-01
4.799999999999999432e+02,1.418512462260547446e-01
4.809999999999999432e+02,1.492495321923655582e-01
4.820000000000000000e+02,1.566670373948149397e-01
4.829999999999999432e+02,1.639990997312329446e-01
4.839999999999999432e+02,1.712159684642215740e-01
4.850000000000000000e+02,1.782617033381406202e-01
4.860000000000000000e+02,1.851310900967203243e-01
4.869999999999999432e+02,1.918145114187010114e-01
4.880000000000000568e+02,1.982916779730594936e-01
4.890000000000000000e+02,2.045375608511862398e-01
4.899999999999999432e+02,2.105434670826080434e-01
4.909999999999999432e+02,2.162958739446700085e-01
4.920000000000000000e+02,2.217821467409259450e-01
4.930000000000000000e+02,2.270107490671570971e-01
4.939999999999999432e+02,2.319519812293214245e-01
4.949999999999999432e+02,2.365975391729347732e-01
4.960000000000000000e+02,2.409404744006168886e-01
4.969999999999999432e+02,2.449777040025155894e-01
4.979999999999999432e+02,2.487051681524960201e-01
4.990000000000000000e+02,2.521189435094752240e-01
5.000000000000000000e+02,2.552192347732337163e-01
5.009999999999999432e+02,2.580276025366566861e-01
5.020000000000000000e+02,2.605104693120962600e-01
5.030000000000000000e+02,2.626665603306350683e-01
5.039999999999999432e+02,2.644951334616447713e-01
5.049999999999999432e+02,2.659787401947839025e-01
5.060000000000000000e+02,2.671445878288222220e-01
5.070000000000000000e+02,2.679933421315043862e-01
5.079999999999999432e+02,2.685259822050780065e-01
5.089999999999998863e+02,2.687520046617994929e-01
5.100000000000000000e+02,2.686526068052103033e-01
5.109999999999999432e+02,2.682277814167488561e-01
5.119999999999999432e+02,2.674793583276979247e-01
5.130000000000000000e+02,2.664357223737845448e-01
5.140000000000000000e+02,2.650919806391550670e-01
5.149999999999998863e+02,2.634407582803773296e-01
5.160000000000000000e+02,2.614848038841397493e-01
5.170000000000000000e+02,2.591071473491446397e-01
5.180000000000000000e+02,2.562859529005074855e-01
5.189999999999998863e+02,2.531998423157170719e-01
5.200000000000000000e+02,2.498535395200824349e-01
5.210000000000000000e+02,2.462536571266217555e-01
5.219999999999998863e+02,2.424185664666951845e-01
5.229999999999998863e+02,2.383398826794107528e-01
5.240000000000000000e+02,2.340236502514137507e-01
5.250000000000000000e+02,2.294763331872928802e-01
5.259999999999998863e+02,2.246822294398903574e-01
5.270000000000000000e+02,2.196527127218635966e-01
5.280000000000000000e+02,2.144100102126827723e-01
5.289999999999998863e+02,2.089627632151389580e-01
5.300000000000000000e+02,2.033288308051914295e-01
5.310000000000000000e+02,1.975905562990923625e-01
5.320000000000000000e+02,1.916839645280351279e-01
5.330000000000000000e+02,1.856199855277046173e-01
5.340000000000000000e+02,1.794102551340229779e-01
5.350000000000000000e+02,1.730848530130681406e-01
5.359999999999998863e+02,1.666498265337343909e-01
5.369999999999998863e+02,1.601068184094945057e-01
5.380000000000000000e+02,1.534703284395702583e-01
5.389999999999998863e+02,1.467556410992948701e-01
5.399999999999998863e+02,1.399193269818408691e-01
5.410000000000000000e+02,1.330301121653323648e-01
5.420000000000000000e+02,1.261126566882809219e-01
5.429999999999998863e+02,1.191858510002760663e-01
5.440000000000000000e+02,1.122772959405763243e-01
5.450000000000000000e+02,1.054309086826475256e-01
5.459999999999998863e+02,9.863526137362291224e-02
5.470000000000000000e+02,9.191149083837488187e-02
5.480000000000000000e+02,8.528120038135804382e-02
5.490000000000000000e+02,7.872553165756852878e-02
5.499999999999998863e+02,7.224864862489402406e-02
5.510000000000000000e+02,6.593615769250191216e-02
5.520000000000000000e+02,5.981170652833650569e-02
5.529999999999998863e+02,5.389886584983112627e-02
5.539999999999998863e+02,4.828804614781057741e-02
5.550000000000000000e+02,4.299279053983617871e-02
5.560000000000000000e+02,3.796387243776388337e-02
5.569999999999998863e+02,3.322130841187309613e-02
5.580000000000000000e+02,2.878428985181061273e-02
5.590000000000000000e+02,2.463822940573780207e-02
5.599999999999998863e+02,2.080833668389383412e-02
5.610000000000000000e+02,1.734678458567950887e-02
5.620000000000000000e+02,1.426893798562955257e-02
5.630000000000000000e+02,1.158855073582190816e-02
5.640000000000000000e+02,9.377072677991491259e-03
5.650000000000000000e+02,7.640198191837706265e-03
5.660000000000000000e+02,6.300472093804618257e-03
5.669999999999998863e+02,5.361371527010728652e-03
5.679999999999998863e+02,4.824609328396681045e-03
5.690000000000000000e+02,4.688620916892134380e-03
5.699999999999998863e+02,4.954246379108295795e-03
5.709999999999998863e+02,5.624167656035555969e-03
5.720000000000000000e+02,6.693359735705559262e-03
5.730000000000000000e+02,8.155128199916407417e-03
5.739999999999998863e+02,1.000118641956135312e-02
5.750000000000000000e+02,1.221920339322240916e-02
5.760000000000000000e+02,1.479910574811784535e-02
5.769999999999998863e+02,1.772840989621414509e-02
5.780000000000000000e+02,2.099347684915169737e-02
5.790000000000000000e+02,2.457963825991222456e-02
5.800000000000000000e+02,2.844964526023696649e-02
5.809999999999998863e+02,3.259078742777010013e-02
5.819999999999998863e+02,3.700003427604998257e-02
5.830000000000000000e+02,4.166037248009579058e-02
5.839999999999998863e+02,4.655442551220448366e-02
5.849999999999998863e+02,5.166943055652636202e-02
5.860000000000000000e+02,5.700356902659090008e-02
5.870000000000000000e+02,6.252039110788451537e-02
5.879999999999998863e+02,6.820199088520542685e-02
5.890000000000000000e+02,7.403063198877445072e-02
5.900000000000000000e+02,7.998883492253938687e-02
5.909999999999998863e+02,8.607817406799528337e-02
5.920000000000000000e+02,9.227722993054340850e-02
5.930000000000000000e+02,9.855746800785490647e-02
5.940000000000000000e+02,1.049029366997139556e-01
5.949999999999998863e+02,1.112982507260124321e-01
5.960000000000000000e+02,1.177286289204959036e-01
5.970000000000000000e+02,1.241723051827070545e-01
5.979999999999998863e+02,1.306226634616587945e-01
5.989999999999998863e+02,1.370677889953097472e-01
6.000000000000000000e+02,1.434955950032952288e-01
6.009999999999998863e+02,1.498946764781919072e-01
6.019999999999998863e+02,1.562533835226344314e-01
6.030000000000000000e+02,1.625548389261562698e-01
6.040000000000000000e+02,1.687984932351029033e-01
6.049999999999998863e+02,1.749756603579775971e-01
6.060000000000000000e+02,1.810782812490084326e-01
6.070000000000000000e+02,1.870989054516576100e-01
6.079999999999998863e+02,1.930308694367301459e-01
6.090000000000000000e+02,1.988680544241402948e-01
6.100000000000000000e+02,2.046036271737981249e-01
6.110000000000000000e+02,2.102323476525266577e-01
6.119999999999998863e+02,2.157494715142454778e-01
6.129999999999998863e+02,2.211507245489951756e-01
6.140000000000000000e+02,2.264363935362381230e-01
6.149999999999998863e+02,2.316155594128290751e-01
6.159999999999998863e+02,2.366687999178014590e-01
6.170000000000000000e+02,2.415934226320154976e-01
6.180000000000000000e+02,2.463870824367316581e-01
6.189999999999998863e+02,2.510477579402448089e-01
6.200000000000000000e+02,2.555410995618523917e-01
6.210000000000000000e+02,2.596078977283636791e-01
6.219999999999998863e+02,2.635436098192003307e-01
6.230000000000000000e+02,2.673476951686670211e-01
6.240000000000000000e+02,2.710197896716121657e-01
6.250000000000000000e+02,2.745596906994239306e-01
6.259999999999998863e+02,2.779673428752642561e-01
6.269999999999998863e+02,2.812765937135157657e-01
6.280000000000000000e+02,2.844617510071603128e-01
6.289999999999998863e+02,2.875145787700404409e-01
6.299999999999998863e+02,2.904354448102797748e-01
6.310000000000000000e+02,2.932248082421513025e-01
6.319999999999998863e+02,2.958832097409671569e-01
6.329999999999998863e+02,2.984039676570590660e-01
6.340000000000000000e+02,3.007845576312230262e-01
6.350000000000000000e+02,3.030368564799557074e-01
6.359999999999998863e+02,3.051616585598193598e-01
6.370000000000000000e+02,3.071598000038828213e-01
6.380000000000000000e+02,3.090321528315009281e-01
6.389999999999998863e+02,3.107796195710658127e-01
6.400000000000000000e+02,3.124073847074868016e-01
6.409999999999998863e+02,3.139126647965938544e-01
6.420000000000000000e+02,3.152959525891358417e-01
6.429999999999998863e+02,3.165582246788398724e-01
6.439999999999998863e+02,3.177004681405075082e-01
6.450000000000000000e+02,3.187236776652901948e-01
6.459999999999998863e+02,3.196319377824453634e-01
6.469999999999998863e+02,3.204355614799856422e-01
6.480000000000000000e+02,3.211232435258698503e-01
6.490000000000000000e+02,3.216959771886309660e-01
6.499999999999998863e+02,3.221547539234413948e-01
6.510000000000000000e+02,3.225005622191075561e-01
6.520000000000000000e+02,3.227343866771700265e-01
6.529999999999998863e+02,3.228633469780631815e-01
6.540000000000000000e+02,3.228917715873313443e-01
6.549999999999998863e+02,3.228115345100832090e-01
6.560000000000000000e+02,3.226235903020846507e-01
6.570000000000000000e+02,3.223288880891244657e-01
6.579999999999998863e+02,3.219283717447728455e-01
6.590000000000000000e+02,3.214229802185702978e-01
6.599999999999998863e+02,3.208084331413624812e-01
6.609999999999998863e+02,3.200854021702351226e-01
6.620000000000000000e+02,3.192599483499745650e-01
6.629999999999998863e+02,3.183330029805436778e-01
6.639999999999998863e+02,3.173054961479765401e-01
6.650000000000000000e+02,3.161783578178348764e-01
6.660000000000000000e+02,3.149525190309717115e-01
6.669999999999998863e+02,3.136297067521777726e-01
6.680000000000000000e+02,3.122112546253653087e-01
6.690000000000000000e+02,3.106969136250279373e-01
6.699999999999998863e+02,3.090876317083896541e-01
6.710000000000000000e+02,3.073843652200472509e-01
6.719999999999998863e+02,3.055880805966127434e-01
6.730000000000000000e+02,3.036997561413911084e-01
6.739999999999998863e+02,3.017235557270863122e-01
6.749999999999998863e+02,2.996699540092615521e-01
6.760000000000000000e+02,2.975272484976507759e-01
6.769999999999998863e+02,2.952964730416448580e-01
6.779999999999998863e+02,2.929786828808131349e-01
6.790000000000000000e+02,2.905749567462808658e-01
6.800000000000000000e+02,2.880863990048961876e-01
6.809999999999998863e+02,2.855141418417968535e-01
6.820000000000000000e+02,2.828747961450885362e-01
6.830000000000000000e+02,2.801581159128382903e-01
6.839999999999998863e+02,2.773614701947931249e-01
6.850000000000000000e+02,2.744861092562910221e-01
6.859999999999998863e+02,2.715333218867789777e-01
6.870000000000000000e+02,2.685044376865877713e-01
6.879999999999998863e+02,2.654008293562026832e-01
6.889999999999998863e+02,2.622174954651003143e-01
6.900000000000000000e+02,2.589430390698180817e-01
6.909999999999998863e+02,2.556037647078762687e-01
6.919999999999998863e+02,2.522012310759921827e-01
6.930000000000000000e+02,2.487370460444671416e-01
6.939999999999998863e+02,2.452128683743570181e-01
6.949999999999998863e+02,2.416304093748147530e-01
6.960000000000000000e+02,2.379914344928616976e-01
6.970000000000000000e+02,2.342962650906604827e-01
6.979999999999998863e+02,2.305465589929410752e-01
6.990000000000000000e+02,2.267456829991071898e-01
6.999999999999998863e+02,2.228956385312734767e-01
7.009999999999998863e+02,2.189984883525045167e-01
7.020000000000000000e+02,2.150563575991277787e-01
7.029999999999998863e+02,2.110714346840363576e-01
7.040000000000000000e+02,2.070459720614636900e-01
7.049999999999998863e+02,2.029785076766505436e-01
7.059999999999998863e+02,1.988715986190059959e-01
7.070000000000000000e+02,1.947315368529262403e-01
7.079999999999998863e+02,1.905608436702719011e-01
7.089999999999998863e+02,1.863621056544659260e-01
7.100000000000000000e+02,1.821379743824490527e-01
7.110000000000000000e+02,1.778911659209689022e-01
7.119999999999998863e+02,1.736244601086563977e-01
7.130000000000000000e+02,1.693529967873796949e-01
7.140000000000000000e+02,1.650852297146708225e-01
7.149999999999998863e+02,1.608053891501050048e-01
7.160000000000000000e+02,1.565164590239663256e-01
7.169999999999998863e+02,1.522214806467256376e-01
7.180000000000000000e+02,1.479235506952661372e-01
7.189999999999998863e+02,1.436258189453428480e-01
7.199999999999998863e+02,1.393314857466872447e-01
7.210000000000000000e+02,1.350402435048605743e-01
