wavelength_nm,R,T,A
4.000000000000000000e+02,6.247758994453649160e-04,8.295491725100320735e-02,9.164203068495514470e-01
4.010000000000000000e+02,9.139165867123136841e-04,8.249924560589337597e-02,9.165868378073942502e-01
4.020000000000000000e+02,1.295528673494435786e-03,8.213010030902853642e-02,9.165743710174769632e-01
4.030000000000000000e+02,1.739651569528461329e-03,8.183619157177537962e-02,9.164241568586961595e-01
4.039999999999999432e+02,2.216601731865303938e-03,8.161968372776789993e-02,9.161637145403667137e-01
4.050000000000000000e+02,2.696975138020632143e-03,8.149876338119220465e-02,9.158042614807871962e-01
4.059999999999999432e+02,3.154545737902285200e-03,8.148446385927041180e-02,9.153609904028272570e-01
4.070000000000000000e+02,3.565270965264703829e-03,8.156773613483007945e-02,9.148669928999052514e-01
4.080000000000000000e+02,3.909244619324957724e-03,8.173897893770093459e-02,9.143517764429740513e-01
4.089999999999999432e+02,4.172923532895524840e-03,8.198046150873004867e-02,9.138466149583743814e-01
4.100000000000000000e+02,4.341422653033840708e-03,8.232560800538017698e-02,9.133329693415860318e-01
4.109999999999999432e+02,4.407198224618852356e-03,8.276426242880979833e-02,9.128285393465713771e-01
4.120000000000000000e+02,4.365995167496626930e-03,8.329671880546404839e-02,9.123372860270393403e-01
4.130000000000000000e+02,4.216937122217037301e-03,8.393476418812481632e-02,9.118482986896581100e-01
4.140000000000000000e+02,3.949273703266248728e-03,8.429980984990174953e-02,9.117509164468320382e-01
4.150000000000000000e+02,3.590062501968430565e-03,8.462341735095404993e-02,9.117865201470775061e-01
4.159999999999999432e+02,3.160793928669153579e-03,8.504383605179013927e-02,9.117953700195406963e-01
4.170000000000000000e+02,2.681533669143113148e-03,8.554731193649116328e-02,9.117711543943657349e-01
4.179999999999999432e+02,2.173656929545660435e-03,8.614162430327659825e-02,9.116847187671777153e-01
4.190000000000000000e+02,1.663032010893049535e-03,8.682388638103220868e-02,9.115130816080747600e-01
4.200000000000000000e+02,1.178535745334215006e-03,8.757611384124044940e-02,9.112453504134253590e-01
4.209999999999999432e+02,7.527539931144634896e-04,8.841118061343229695e-02,9.108360653934531870e-01
4.220000000000000000e+02,4.205173784834988541e-04,8.932213573398901929e-02,9.102573468875274632e-01
4.229999999999999432e+02,2.184227593832423404e-04,9.029985640806778568e-02,9.094817208325489677e-01
4.240000000000000000e+02,1.848275475862049336e-04,9.135403073985590150e-02,9.084611417125578736e-01
4.249999999999999432e+02,3.591911535720276774e-04,9.247898148003119712e-02,9.071618273663967225e-01
4.260000000000000000e+02,7.785816226924348110e-04,9.367286394718228604e-02,9.055485544301252743e-01
4.270000000000000000e+02,1.482430859687419201e-03,9.493208129157715280e-02,9.035854878487353803e-01
4.279999999999999432e+02,2.509528217991047108e-03,9.623958158494025361e-02,9.012508901970687214e-01
4.290000000000000000e+02,3.898019067795735135e-03,9.759042817150526128e-02,8.985115527606990504e-01
4.299999999999999432e+02,5.682392353444509422e-03,9.899601651947845249e-02,8.953215911270770988e-01
4.310000000000000000e+02,7.894466674151185553e-03,1.004505992339700393e-01,8.916549340918787925e-01
4.319999999999999432e+02,1.056257235444286666e-02,1.019510781310102865e-01,8.874863495145468573e-01
4.330000000000000000e+02,1.371093163539589821e-02,1.034972536988937736e-01,8.827918146657103282e-01
4.340000000000000000e+02,1.735412616972496422e-02,1.050714377695514956e-01,8.775744360607234951e-01
4.349999999999999432e+02,2.150439930721131584e-02,1.066700099319778106e-01,8.718255907608108979e-01
4.360000000000000000e+02,2.619387388122591809e-02,1.083019086921627738e-01,8.655042174266112109e-01
4.369999999999999432e+02,3.141702257937890874e-02,1.099732540111831580e-01,8.586097234094378639e-01
4.380000000000000000e+02,3.717642350628277276e-02,1.116867331571610722e-01,8.511368433365561481e-01
4.389999999999999432e+02,4.345135279484531321e-02,1.134376481109200113e-01,8.431109990942345922e-01
4.399999999999999432e+02,5.022109323089410382e-02,1.152203979932992228e-01,8.345585087758067289e-01
4.410000000000000000e+02,5.740653026370198808e-02,1.170248696900097612e-01,8.255686000462881813e-01
4.419999999999999432e+02,6.503212174263413303e-02,1.188679641842219220e-01,8.160999140731438617e-01
4.430000000000000000e+02,7.299276942731305895e-02,1.206553272174815533e-01,8.063519033552054571e-01
4.440000000000000000e+02,8.101540439332743926e-02,1.221162406098619257e-01,7.968683549968106350e-01
4.450000000000000000e+02,8.929885388702270277e-02,1.236225400965426102e-01,7.870786060164346454e-01
4.460000000000000000e+02,9.782823392643648364e-02,1.251822494630436267e-01,7.769895166105198481e-01
4.469999999999999432e+02,1.064919404860974889e-01,1.267822175472714807e-01,7.667258419666310720e-01
4.480000000000000000e+02,1.152738556869187803e-01,1.284436275364019553e-01,7.562825167766792367e-01
4.489999999999999432e+02,1.241247071396152368e-01,1.301735449806103728e-01,7.457017478797743903e-01
4.500000000000000000e+02,1.330314538473385544e-01,1.319887284880289224e-01,7.349798176646326064e-01
4.510000000000000000e+02,1.419193326079006001e-01,1.338935232909514994e-01,7.241871441011479282e-01
4.519999999999999432e+02,1.507285820871205051e-01,1.358987660601612690e-01,7.133726518527182536e-01
4.530000000000000000e+02,1.593977777845463628e-01,1.379917010783947851e-01,7.026105211370589076e-01
4.539999999999999432e+02,1.678814443173282933e-01,1.401801152204121548e-01,6.919384404622594964e-01
4.550000000000000000e+02,1.761517333541509356e-01,1.424919712426103713e-01,6.813562954032387209e-01
4.559999999999999432e+02,1.841671010372739614e-01,1.449353635958545439e-01,6.708975353668714670e-01
4.570000000000000000e+02,1.918901934535844345e-01,1.475126779562047075e-01,6.605971285902109136e-01
4.580000000000000000e+02,1.992796596383339114e-01,1.502477729169405807e-01,6.504725674447254802e-01
4.589999999999999432e+02,2.062988629887896330e-01,1.531533520739146170e-01,6.405477849372958055e-01
4.600000000000000000e+02,2.129086684898804094e-01,1.562464862418075362e-01,6.308448452683119712e-01
4.609999999999999432e+02,2.190570135336707969e-01,1.595271727730541989e-01,6.214158136932750320e-01
4.620000000000000000e+02,2.247417367102470531e-01,1.630172352496258026e-01,6.122410280401271443e-01
4.629999999999999432e+02,2.299321092967352986e-01,1.667290949804468014e-01,6.033387957228180110e-01
4.640000000000000000e+02,2.345999239711821782e-01,1.706764617496280556e-01,5.947236142791897384e-01
4.650000000000000000e+02,2.387205696512125497e-01,1.748786893813132071e-01,5.864007409674741877e-01
4.659999999999999432e+02,2.422829124706529502e-01,1.793699746971660069e-01,5.783471128321810983e-01
4.670000000000000000e+02,2.452706188071642479e-01,1.841936637252063746e-01,5.705357174676293219e-01
4.679999999999999432e+02,2.476281550759052985e-01,1.893370053271180853e-01,5.630348395969766440e-01
4.690000000000000000e+02,2.493246864457297207e-01,1.948097988969157979e-01,5.558655146573545647e-01
4.699999999999999432e+02,2.503401201647484919e-01,2.006116489068047459e-01,5.490482309284467899e-01
4.709999999999999432e+02,2.506560167841797582e-01,2.067197416765008955e-01,5.426242415393193186e-01
4.720000000000000000e+02,2.502629394982938127e-01,2.132087084331474591e-01,5.365283520685587559e-01
4.729999999999999432e+02,2.491419929941664502e-01,2.200965563488677945e-01,5.307614506569656720e-01
