wavelength_nm,R
4.000000000000000000e+02,4.496835938442022007e-01
4.010000000000000000e+02,4.441914843436900462e-01
4.020000000000000000e+02,4.384389496564099487e-01
4.030000000000000000e+02,4.324392728467295610e-01
4.039999999999999432e+02,4.262070613886307924e-01
4.050000000000000000e+02,4.197583618342369816e-01
4.059999999999999432e+02,4.131107686642248034e-01
4.070000000000000000e+02,4.062827733642858652e-01
4.080000000000000000e+02,3.992947628655995063e-01
4.089999999999999432e+02,3.921704047385197178e-01
4.100000000000000000e+02,3.849344524664580214e-01
4.109999999999999432e+02,3.776135686538126257e-01
4.120000000000000000e+02,3.702363313993160543e-01
4.130000000000000000e+02,3.628332099518088438e-01
4.140000000000000000e+02,3.553228112201584632e-01
4.150000000000000000e+02,3.477966773446464210e-01
4.159999999999999432e+02,3.403465845868471340e-01
4.170000000000000000e+02,3.330097841476253873e-01
4.179999999999999432e+02,3.258247084796319082e-01
4.190000000000000000e+02,3.188306925127540326e-01
4.200000000000000000e+02,3.120676498373809449e-01
4.209999999999999432e+02,3.055573277436185453e-01
4.220000000000000000e+02,2.993488733848853611e-01
4.229999999999999432e+02,2.934911883190031157e-01
4.240000000000000000e+02,2.880225570483890274e-01
4.249999999999999432e+02,2.829796891512610935e-01
4.260000000000000000e+02,2.784204240485118609e-01
4.270000000000000000e+02,2.743475208880977179e-01
4.279999999999999432e+02,2.708136340585647339e-01
4.290000000000000000e+02,2.678547889787065150e-01
4.299999999999999432e+02,2.654582172657035111e-01
4.310000000000000000e+02,2.636415756848519143e-01
4.319999999999999432e+02,2.624182394350312864e-01
4.330000000000000000e+02,2.617971143193990602e-01
4.340000000000000000e+02,2.617825250361178191e-01
4.349999999999999432e+02,2.623741828792811592e-01
4.360000000000000000e+02,2.635996750927774857e-01
4.369999999999999432e+02,2.654265253654840562e-01
4.380000000000000000e+02,2.678388040008792825e-01
4.389999999999999432e+02,2.708185861438361375e-01
4.399999999999999432e+02,2.743442147963426336e-01
4.410000000000000000e+02,2.783359698112433667e-01
4.419999999999999432e+02,2.828098105392723993e-01
4.430000000000000000e+02,2.877422482050666641e-01
4.440000000000000000e+02,2.931319231456294694e-01
4.450000000000000000e+02,2.989110146845954663e-01
4.460000000000000000e+02,3.050845879137092931e-01
4.469999999999999432e+02,3.115827436423878050e-01
4.480000000000000000e+02,3.183701810003852217e-01
4.489999999999999432e+02,3.254117330483211057e-01
4.500000000000000000e+02,3.326727090785888130e-01
4.510000000000000000e+02,3.401179853271341091e-01
4.519999999999999432e+02,3.477036171938509557e-01
4.530000000000000000e+02,3.554102702729883823e-01
4.539999999999999432e+02,3.632078258877549648e-01
4.550000000000000000e+02,3.710677495129844350e-01
4.559999999999999432e+02,3.789631951018910261e-01
4.570000000000000000e+02,3.868690754340318172e-01
4.580000000000000000e+02,3.947621017172558977e-01
4.589999999999999432e+02,4.026207959035171813e-01
4.600000000000000000e+02,4.103686793935398258e-01
4.609999999999999432e+02,4.179807783771167240e-01
4.620000000000000000e+02,4.255071770271244835e-01
4.629999999999999432e+02,4.329336877527431016e-01
4.640000000000000000e+02,4.402476549064375244e-01
4.650000000000000000e+02,4.474378772580255847e-01
4.659999999999999432e+02,4.545349838449786462e-01
4.670000000000000000e+02,4.614879477983059308e-01
4.679999999999999432e+02,4.682891567352196471e-01
4.690000000000000000e+02,4.749305879690335352e-01
4.699999999999999432e+02,4.814086130657173057e-01
4.709999999999999432e+02,4.876838443798526268e-01
4.720000000000000000e+02,4.937901765771503526e-01
4.729999999999999432e+02,4.997249844570916255e-01
4.740000000000000000e+02,5.054863439526986468e-01
4.749999999999999432e+02,5.110729611538844530e-01
4.760000000000000000e+02,5.164841056287444720e-01
4.769999999999999432e+02,5.217249298535191482e-01
4.779999999999998863e+02,5.268511853074002715e-01
4.790000000000000000e+02,5.318007707935363815e-01
4.799999999999999432e+02,5.365746521516489009e-01
4.809999999999999432e+02,5.411740957508743843e-01
4.820000000000000000e+02,5.456006262946608842e-01
4.829999999999999432e+02,5.498559884094640360e-01
4.839999999999999432e+02,5.539421118069391969e-01
4.850000000000000000e+02,5.578610798017038519e-01
4.860000000000000000e+02,5.616151009640016900e-01
4.869999999999999432e+02,5.651952841604583888e-01
4.880000000000000568e+02,5.686105963307537259e-01
4.890000000000000000e+02,5.718675533102751674e-01
4.899999999999999432e+02,5.749686421901815114e-01
4.909999999999999432e+02,5.779163728585939852e-01
4.920000000000000000e+02,5.807132639908881844e-01
4.930000000000000000e+02,5.833618308088374116e-01
4.939999999999999432e+02,5.858645744485980744e-01
4.949999999999999432e+02,5.882239727888608494e-01
4.960000000000000000e+02,5.904424726016581637e-01
4.969999999999999432e+02,5.924513562625330909e-01
4.979999999999999432e+02,5.943238401320205533e-01
4.990000000000000000e+02,5.960622188010155087e-01
5.000000000000000000e+02,5.976687345806019902e-01
5.009999999999999432e+02,5.991417737436022239e-01
5.020000000000000000e+02,6.004889366041756826e-01
5.030000000000000000e+02,6.017122577360048963e-01
5.039999999999999432e+02,6.028137134383613205e-01
5.049999999999999432e+02,6.037952212796752205e-01
5.060000000000000000e+02,6.046583979854681656e-01
5.070000000000000000e+02,6.053703609489259341e-01
5.079999999999999432e+02,6.059618245379710944e-01
5.089999999999998863e+02,6.064390433034292371e-01
5.100000000000000000e+02,6.068036567062523590e-01
5.109999999999999432e+02,6.070572497792551259e-01
5.119999999999999432e+02,6.072013551124353370e-01
5.130000000000000000e+02,6.072374550661152615e-01
5.140000000000000000e+02,6.071669841931875977e-01
5.149999999999998863e+02,6.069913318543622704e-01
5.160000000000000000e+02,6.067194725983391379e-01
5.170000000000000000e+02,6.063401109937829325e-01
5.180000000000000000e+02,6.058483122458513392e-01
5.189999999999998863e+02,6.052583631657795227e-01
5.200000000000000000e+02,6.045714334078041707e-01
5.210000000000000000e+02,6.037776826435997668e-01
5.219999999999998863e+02,6.028879139189649017e-01
5.229999999999998863e+02,6.019032527805614485e-01
5.240000000000000000e+02,6.008248103322277878e-01
5.250000000000000000e+02,5.996536872419452324e-01
5.259999999999998863e+02,5.984051631756224232e-01
5.270000000000000000e+02,5.970673778006454491e-01
5.280000000000000000e+02,5.956338493703456916e-01
5.289999999999998863e+02,5.940985594600097786e-01
5.300000000000000000e+02,5.924772602315245829e-01
5.310000000000000000e+02,5.907710467966359458e-01
5.320000000000000000e+02,5.889810342144359279e-01
5.330000000000000000e+02,5.871083622010071501e-01
5.340000000000000000e+02,5.851541999334701760e-01
5.350000000000000000e+02,5.831197509438253990e-01
5.359999999999998863e+02,5.809862836484929183e-01
5.369999999999998863e+02,5.787739962930150694e-01
5.380000000000000000e+02,5.764842576411925990e-01
5.389999999999998863e+02,5.741184933614369434e-01
5.399999999999998863e+02,5.716532792746509273e-01
5.410000000000000000e+02,5.691336008259256785e-01
5.420000000000000000e+02,5.665432056577078823e-01
5.429999999999998863e+02,5.638837616138936415e-01
5.440000000000000000e+02,5.611570187722716430e-01
5.450000000000000000e+02,5.583648147517245031e-01
5.459999999999998863e+02,5.555090799664975654e-01
5.470000000000000000e+02,5.525918428031033613e-01
5.480000000000000000e+02,5.496152346931395538e-01
5.490000000000000000e+02,5.465814950529455096e-01
5.499999999999998863e+02,5.434929760586668657e-01
5.510000000000000000e+02,5.403521472229330103e-01
5.520000000000000000e+02,5.371537583780935377e-01
5.529999999999998863e+02,5.339073714290807349e-01
5.539999999999998863e+02,5.306167985728390546e-01
5.550000000000000000e+02,5.272850173421835818e-01
5.560000000000000000e+02,5.239151412436640065e-01
5.569999999999998863e+02,5.205104223057732682e-01
5.580000000000000000e+02,5.170742531328836877e-01
5.590000000000000000e+02,5.136101684164561254e-01
5.599999999999998863e+02,5.101218458543497203e-01
5.610000000000000000e+02,5.066131064288900143e-01
5.620000000000000000e+02,5.030879139945750866e-01
5.630000000000000000e+02,4.995503741271012377e-01
5.640000000000000000e+02,4.960116026674223355e-01
5.650000000000000000e+02,4.924813873723593582e-01
5.660000000000000000e+02,4.889520412769636781e-01
5.669999999999998863e+02,4.854281857903065545e-01
5.679999999999998863e+02,4.819145646758587476e-01
5.690000000000000000e+02,4.784160376405809378e-01
5.699999999999998863e+02,4.749375729350868158e-01
5.709999999999998863e+02,4.714842389479101392e-01
5.720000000000000000e+02,4.680611947841485376e-01
5.730000000000000000e+02,4.646736798268298330e-01
5.739999999999998863e+02,4.613270022880657795e-01
5.750000000000000000e+02,4.580265267664532791e-01
5.760000000000000000e+02,4.547776608371682516e-01
5.769999999999998863e+02,4.515830016558417537e-01
5.780000000000000000e+02,4.484427767886433047e-01
5.790000000000000000e+02,4.453705329603699914e-01
5.800000000000000000e+02,4.423717083933389471e-01
5.809999999999998863e+02,4.394727984528569165e-01
5.819999999999998863e+02,4.366564459938792053e-01
5.830000000000000000e+02,4.339278002683095714e-01
5.839999999999998863e+02,4.312919217983934850e-01
5.849999999999998863e+02,4.287537639634930176e-01
5.860000000000000000e+02,4.263014622774493612e-01
5.870000000000000000e+02,4.239583890305087532e-01
5.879999999999998863e+02,4.217291694116983569e-01
5.890000000000000000e+02,4.196182409887448395e-01
5.900000000000000000e+02,4.176298353112462558e-01
5.909999999999998863e+02,4.157619966213182972e-01
5.920000000000000000e+02,4.140194128476281654e-01
5.930000000000000000e+02,4.124112674493806696e-01
5.940000000000000000e+02,4.109408230172587606e-01
5.949999999999998863e+02,4.096110532566756834e-01
5.960000000000000000e+02,4.084246301704032023e-01
5.970000000000000000e+02,4.073839126664335342e-01
5.979999999999998863e+02,4.064909366943326718e-01
5.989999999999998863e+02,4.057474069993946553e-01
6.000000000000000000e+02,4.051546905687050115e-01
6.009999999999998863e+02,4.047127305099606498e-01
6.019999999999998863e+02,4.044207162136849165e-01
6.030000000000000000e+02,4.042789876518736447e-01
6.040000000000000000e+02,4.042875500201172922e-01
6.049999999999998863e+02,4.044391082804471571e-01
6.060000000000000000e+02,4.046965606601175547e-01
6.070000000000000000e+02,4.051052957617053973e-01
6.079999999999998863e+02,4.056639808999197294e-01
6.090000000000000000e+02,4.063709648045535916e-01
6.100000000000000000e+02,4.072242882825246046e-01
6.110000000000000000e+02,4.082081998719703231e-01
6.119999999999998863e+02,4.093313782847027849e-01
6.129999999999998863e+02,4.105911013447174907e-01
6.140000000000000000e+02,4.119844020079588831e-01
6.149999999999998863e+02,4.135080840111451383e-01
6.159999999999998863e+02,4.151776178359334324e-01
6.170000000000000000e+02,4.169724867006495139e-01
6.180000000000000000e+02,4.188887991211941442e-01
6.189999999999998863e+02,4.209224979797886457e-01
6.200000000000000000e+02,4.230693791163827600e-01
6.210000000000000000e+02,4.252077309596814514e-01
6.219999999999998863e+02,4.274512612954473045e-01
6.230000000000000000e+02,4.297954617311968706e-01
6.240000000000000000e+02,4.322357497221900324e-01
6.250000000000000000e+02,4.347674860781209905e-01
6.259999999999998863e+02,4.373589600090814766e-01
6.269999999999998863e+02,4.400313182747271901e-01
6.280000000000000000e+02,4.427799732784094555e-01
6.289999999999998863e+02,4.456003437084942176e-01
6.299999999999998863e+02,4.484878681087238750e-01
6.310000000000000000e+02,4.514380176515213616e-01
6.319999999999998863e+02,4.544463080841271152e-01
6.329999999999998863e+02,4.575083108263110487e-01
6.340000000000000000e+02,4.606196632067484087e-01
6.350000000000000000e+02,4.637760778329790834e-01
6.359999999999998863e+02,4.670003731612246134e-01
6.370000000000000000e+02,4.702248408997098950e-01
6.380000000000000000e+02,4.734827959540924835e-01
6.389999999999998863e+02,4.767702298903341851e-01
6.400000000000000000e+02,4.800832477165353218e-01
6.409999999999998863e+02,4.833861953373919107e-01
6.420000000000000000e+02,4.867071969252054209e-01
6.429999999999998863e+02,4.900428085207816364e-01
6.439999999999998863e+02,4.933897088433293887e-01
6.450000000000000000e+02,4.967447009594223584e-01
6.459999999999998863e+02,5.001365617261441798e-01
6.469999999999998863e+02,5.035303310131132859e-01
6.480000000000000000e+02,5.069231199929834508e-01
6.490000000000000000e+02,5.103121699223206464e-01
6.499999999999998863e+02,5.136948512178854953e-01
6.510000000000000000e+02,5.170374546192333387e-01
6.520000000000000000e+02,5.203691877169741575e-01
6.529999999999998863e+02,5.236972830324232442e-01
6.540000000000000000e+02,5.270261211092913678e-01
6.549999999999998863e+02,5.303375941320168652e-01
6.560000000000000000e+02,5.336298405091575159e-01
6.570000000000000000e+02,5.369011092579327737e-01
6.579999999999998863e+02,5.401497569986671854e-01
6.590000000000000000e+02,5.433742448217834253e-01
6.599999999999998863e+02,5.465731350522601284e-01
6.609999999999998863e+02,5.497737510755129620e-01
6.620000000000000000e+02,5.529455417303439368e-01
6.629999999999998863e+02,5.560873272408410894e-01
6.639999999999998863e+02,5.591980185088518684e-01
6.650000000000000000e+02,5.622766135191712422e-01
6.660000000000000000e+02,5.652952250437236481e-01
6.669999999999998863e+02,5.682806976580999647e-01
6.680000000000000000e+02,5.712322846521268316e-01
6.690000000000000000e+02,5.741493099090683172e-01
6.699999999999998863e+02,5.770311646384732596e-01
6.710000000000000000e+02,5.798446554915532847e-01
6.719999999999998863e+02,5.826103309064286639e-01
6.730000000000000000e+02,5.853399086595203471e-01
6.739999999999998863e+02,5.880330135255583679e-01
6.749999999999998863e+02,5.906893219086679636e-01
6.760000000000000000e+02,5.933085590590344571e-01
6.769999999999998863e+02,5.958904963775775165e-01
6.779999999999998863e+02,5.984349488102971293e-01
6.790000000000000000e+02,6.009417723333940753e-01
6.800000000000000000e+02,6.034108615297371081e-01
6.809999999999998863e+02,6.058634939129828867e-01
6.820000000000000000e+02,6.082775207835922071e-01
6.830000000000000000e+02,6.106529416626542695e-01
6.839999999999998863e+02,6.129897868306759534e-01
6.850000000000000000e+02,6.152881152701837886e-01
6.859999999999998863e+02,6.175285812390480800e-01
6.870000000000000000e+02,6.197314800958588776e-01
6.879999999999998863e+02,6.218969397002785948e-01
6.889999999999998863e+02,6.240167217208345551e-01
6.900000000000000000e+02,6.260320058975215041e-01
6.909999999999998863e+02,6.280112128062407262e-01
6.919999999999998863e+02,6.299545298511182168e-01
6.930000000000000000e+02,6.318621591846057539e-01
6.939999999999998863e+02,6.337343164743753920e-01
6.949999999999998863e+02,6.355712297352368312e-01
6.960000000000000000e+02,6.373731382236633713e-01
6.970000000000000000e+02,6.391402913925594564e-01
6.979999999999998863e+02,6.408729479038950405e-01
6.990000000000000000e+02,6.425713746968551021e-01
6.999999999999998863e+02,6.442358461092145827e-01
7.009999999999998863e+02,6.458666430496690092e-01
7.020000000000000000e+02,6.474640522188929159e-01
7.029999999999998863e+02,6.490283653771766748e-01
7.040000000000000000e+02,6.505598786565194303e-01
7.049999999999998863e+02,6.520588919151193430e-01
7.059999999999998863e+02,6.535257081322869421e-01
7.070000000000000000e+02,6.549606328418328127e-01
7.079999999999998863e+02,6.563639736020702165e-01
7.089999999999998863e+02,6.577088421772968596e-01
7.100000000000000000e+02,6.589871357413759068e-01
7.110000000000000000e+02,6.602353823922050280e-01
7.119999999999998863e+02,6.614538794750864925e-01
7.130000000000000000e+02,6.626429242702945865e-01
7.140000000000000000e+02,6.638028136568334681e-01
7.149999999999998863e+02,6.649338438007268426e-01
7.160000000000000000e+02,6.660363098664987547e-01
7.169999999999998863e+02,6.671105057505946068e-01
7.180000000000000000e+02,6.681567238355552441e-01
