wavelength_nm,R,T,A
4.000000000000000000e+02,4.302760013514993903e-02,5.488456071105048822e-02,9.020878391537995311e-01
4.010000000000000000e+02,4.734006181312505612e-02,5.739831720944677668e-02,8.952616209774282297e-01
4.020000000000000000e+02,5.234172032301373512e-02,6.001605424835726454e-02,8.876422254286289171e-01
4.030000000000000000e+02,5.804367765681558294e-02,6.271693430494444665e-02,8.792393880382399773e-01
4.039999999999999432e+02,6.444999820469619889e-02,6.549763244299701415e-02,8.700523693523067870e-01
4.050000000000000000e+02,7.155844515011483553e-02,6.837647553518437504e-02,8.600650793147008866e-01
4.059999999999999432e+02,7.933856425418862879e-02,7.134217649361604408e-02,8.493192592521953133e-01
4.070000000000000000e+02,8.776230399331083620e-02,7.439747568559398894e-02,8.378402203210951749e-01
4.080000000000000000e+02,9.678631127436586323e-02,7.753972374866945072e-02,8.256739649769646583e-01
4.089999999999999432e+02,1.063566604198696169e-01,8.076140347501183092e-02,8.128819361051186076e-01
4.100000000000000000e+02,1.163947590763825812e-01,8.407828185060149673e-02,7.995269590730159637e-01
4.109999999999999432e+02,1.268198535859569320e-01,8.748236254794194977e-02,7.856977838661011182e-01
4.120000000000000000e+02,1.375426737960643020e-01,9.097586568579336952e-02,7.714814605181422591e-01
4.130000000000000000e+02,1.484640198918408815e-01,9.457253898500093958e-02,7.569634411231581650e-01
4.140000000000000000e+02,1.590264764248525142e-01,9.782894433460391503e-02,7.431445792405435569e-01
4.150000000000000000e+02,1.693120310074272550e-01,1.010094263212881760e-01,7.296785426712846245e-01
4.159999999999999432e+02,1.793750122558515347e-01,1.042837347113313856e-01,7.163412530328171490e-01
4.170000000000000000e+02,1.891207175103661042e-01,1.076427619028315075e-01,7.032365205868024161e-01
4.179999999999999432e+02,1.984549850294170248e-01,1.111090683598462137e-01,6.904359466107367060e-01
4.190000000000000000e+02,2.072897614845460867e-01,1.146931821359464532e-01,6.780170563795073768e-01
4.200000000000000000e+02,2.155558401557780279e-01,1.184038091029073342e-01,6.660403507413146240e-01
4.209999999999999432e+02,2.231542785945893059e-01,1.222508130694723028e-01,6.545949083359384746e-01
4.220000000000000000e+02,2.300157696984935773e-01,1.262399836037546574e-01,6.437442466977517652e-01
4.229999999999999432e+02,2.360795265026641998e-01,1.303757389882765072e-01,6.335447345090593485e-01
4.240000000000000000e+02,2.412727242945638395e-01,1.346752209385874144e-01,6.240520547668487739e-01
4.249999999999999432e+02,2.455431783543495505e-01,1.391333195601640316e-01,6.153235020854863624e-01
