wavelength_nm,R,T,A
4.000000000000000000e+02,4.897707710848468732e-02,5.167775725922105212e-02,8.993451656322942744e-01
4.010000000000000000e+02,5.360676281478433947e-02,5.411316568750685480e-02,8.922800714977087155e-01
4.020000000000000000e+02,5.901942315834070307e-02,5.664780465001739013e-02,8.843327721916418582e-01
4.030000000000000000e+02,6.523049662362531698e-02,5.926063745542199668e-02,8.755088659209526725e-01
4.039999999999999432e+02,7.224699919849544849e-02,6.194749821897217040e-02,8.658055025825324158e-01
4.050000000000000000e+02,8.006864884658805581e-02,6.472520605682496875e-02,8.552061450965869893e-01
4.059999999999999432e+02,8.866371312141434202e-02,6.758188737381636002e-02,8.437543995047693812e-01
4.070000000000000000e+02,9.800120511045581906e-02,7.051926188466962897e-02,8.314795330048745381e-01
4.080000000000000000e+02,1.080323457535576903e-01,7.353389269619171886e-02,8.184337615502506047e-01
4.089999999999999432e+02,1.186950810332582235e-01,7.661774436479608374e-02,8.046871746019457206e-01
4.100000000000000000e+02,1.299023026305441975e-01,7.978556618322125982e-02,7.903121311862345566e-01
4.109999999999999432e+02,1.415618753642090277e-01,8.302912833729542141e-02,7.754089962984955786e-01
4.120000000000000000e+02,1.535722850852462573e-01,8.635032457724674260e-02,7.600773903375069862e-01
4.130000000000000000e+02,1.658214108857430369e-01,8.976249774671464510e-02,7.444160913675423874e-01
4.140000000000000000e+02,1.777206305169627132e-01,9.284711092721190107e-02,7.294322585558253857e-01
4.150000000000000000e+02,1.893387884510402408e-01,9.585643871464744059e-02,7.148047728343123186e-01
4.159999999999999432e+02,2.007217968468366642e-01,9.895224759376901325e-02,7.003259555593943642e-01
4.170000000000000000e+02,2.117614755626814615e-01,1.021268162397279550e-01,6.861117081975905974e-01
4.179999999999999432e+02,2.223520603621159664e-01,1.054033912916037680e-01,6.722445483462802240e-01
4.190000000000000000e+02,2.323941663657700940e-01,1.087936565992703025e-01,6.588121770349596451e-01
4.200000000000000000e+02,2.418089581615984474e-01,1.123074687422761092e-01,6.458835730961254296e-01
4.209999999999999432e+02,2.504863193842352120e-01,1.159564125758699576e-01,6.335572680398947609e-01
4.220000000000000000e+02,2.583478938279351045e-01,1.197479213397418252e-01,6.219041848323230148e-01
4.229999999999999432e+02,2.653247624104813629e-01,1.236881391540594483e-01,6.109870984354592860e-01
4.240000000000000000e+02,2.713359592110319296e-01,1.277958583455558184e-01,6.008681824434122243e-01
4.249999999999999432e+02,2.763218723949157907e-01,1.320682007806677771e-01,5.916099268244163767e-01
4.260000000000000000e+02,2.802234903004648392e-01,1.364862723295317271e-01,5.832902373700035170e-01
4.270000000000000000e+02,2.830116447979674210e-01,1.410936451400609803e-01,5.758947100619716819e-01
4.279999999999999432e+02,2.846602456628540279e-01,1.458864259302262989e-01,5.694533284069197565e-01
4.290000000000000000e+02,2.851391416844436533e-01,1.508666191999143980e-01,5.639942391156419488e-01
4.299999999999999432e+02,2.844132964268669128e-01,1.560432048890338930e-01,5.595434986840992497e-01
4.310000000000000000e+02,2.824740023941209044e-01,1.614100321542323857e-01,5.561159654516467654e-01
4.319999999999999432e+02,2.793216825944880854e-01,1.669580806353530567e-01,5.537202367701588024e-01
4.330000000000000000e+02,2.749677985367790511e-01,1.726744878453185528e-01,5.523577136179023128e-01
4.340000000000000000e+02,2.694726708198277310e-01,1.785198259554253430e-01,5.520075032247468982e-01
4.349999999999999432e+02,2.628861034534196173e-01,1.844696076242676730e-01,5.526442889223127652e-01
4.360000000000000000e+02,2.551990776580806419e-01,1.905285465640214337e-01,5.542723757778980076e-01
4.369999999999999432e+02,2.464921638491159583e-01,1.966499780610263814e-01,5.568578580898576602e-01
4.380000000000000000e+02,2.368465290102003407e-01,2.027875559187519994e-01,5.603659150710477155e-01
4.389999999999999432e+02,2.264456563737010930e-01,2.088596735341725075e-01,5.646946700921264828e-01
4.399999999999999432e+02,2.154622053967897299e-01,2.147958057699211887e-01,5.697419888332890814e-01
4.410000000000000000e+02,2.042071911691486774e-01,2.205038344196043054e-01,5.752889744112470449e-01
4.419999999999999432e+02,1.927218416379918031e-01,2.259551476434338291e-01,5.813230107185743956e-01
4.430000000000000000e+02,1.811631441818608024e-01,2.308805996531349269e-01,5.879562561650042429e-01
4.440000000000000000e+02,1.696820700621320122e-01,2.346280989201043610e-01,5.956898310177636269e-01
4.450000000000000000e+02,1.587072275812577149e-01,2.378466304470129855e-01,6.034461419717291886e-01
4.460000000000000000e+02,1.484024568146244671e-01,2.404702893640248695e-01,6.111272538213505801e-01
4.469999999999999432e+02,1.390678566092563573e-01,2.424860725842667986e-01,6.184460708064768442e-01
4.480000000000000000e+02,1.307893564863268632e-01,2.438531779979362657e-01,6.253574655157368989e-01
4.489999999999999432e+02,1.236979056206356925e-01,2.445577456121741378e-01,6.317443487671902114e-01
4.500000000000000000e+02,1.178607231963587909e-01,2.445524556098258862e-01,6.375868211938153785e-01
4.510000000000000000e+02,1.133801391364460398e-01,2.438760861239346045e-01,6.427437747396193002e-01
4.519999999999999432e+02,1.102808312389230022e-01,2.425770084272324545e-01,6.471421603338445294e-01
4.530000000000000000e+02,1.085318769634217306e-01,2.407291433969953320e-01,6.507389796395829373e-01
4.539999999999999432e+02,1.080611323105040572e-01,2.383957206986911936e-01,6.535431469908047353e-01
4.550000000000000000e+02,1.087914660339154710e-01,2.356081727234245471e-01,6.556003612426599680e-01
4.559999999999999432e+02,1.106134807798346692e-01,2.324325039877129240e-01,6.569540152324524485e-01
4.570000000000000000e+02,1.133970062244216703e-01,2.289355084367259985e-01,6.576674853388524422e-01
4.580000000000000000e+02,1.170159635067436338e-01,2.251853527638038588e-01,6.577986837294524936e-01
4.589999999999999432e+02,1.213301777841047507e-01,2.212472292730179035e-01,6.574225929428774151e-01
4.600000000000000000e+02,1.261845614434989882e-01,2.172052063754093543e-01,6.566102321810916020e-01
4.609999999999999432e+02,1.314125005550969838e-01,2.131508104796471237e-01,6.554366889652558648e-01
4.620000000000000000e+02,1.369342412674265375e-01,2.090726464851893895e-01,6.539931122473839897e-01
4.629999999999999432e+02,1.426281241782295928e-01,2.050187380908895518e-01,6.523531377308808832e-01
4.640000000000000000e+02,1.483847044530473558e-01,2.010286751425200691e-01,6.505866204044326029e-01
4.650000000000000000e+02,1.541133206971220249e-01,1.971271175370893913e-01,6.487595617657886393e-01
4.659999999999999432e+02,1.597738569287427690e-01,1.932925023092902372e-01,6.469336407619670215e-01
4.670000000000000000e+02,1.653175483087959974e-01,1.894968308049840844e-01,6.451856208862198905e-01
4.679999999999999432e+02,1.706096070549267263e-01,1.858498381537108113e-01,6.435405547913624069e-01
4.690000000000000000e+02,1.755763272374476491e-01,1.823701125695355030e-01,6.420535601930168479e-01
4.699999999999999432e+02,1.801587185900177246e-01,1.791043954662785986e-01,6.407368859437037045e-01
4.709999999999999432e+02,1.842779109403789861e-01,1.761117129494826072e-01,6.396103761101384899e-01
4.720000000000000000e+02,1.879782702384570070e-01,1.733083940991430871e-01,6.387133356623998504e-01
4.729999999999999432e+02,1.912366849377340750e-01,1.706969284373016649e-01,6.380663866249642879e-01
4.740000000000000000e+02,1.941093521235608133e-01,1.681581416046081245e-01,6.377325062718310900e-01
4.749999999999999432e+02,1.965150538984611617e-01,1.657887805782969626e-01,6.376961655232419313e-01
4.760000000000000000e+02,1.984249934769103385e-01,1.636179045402339771e-01,6.379571019828557121e-01
4.769999999999999432e+02,1.998283677151712068e-01,1.615858841464798967e-01,6.385857481383488965e-01
4.779999999999998863e+02,2.006631718530850206e-01,1.594532534411329250e-01,6.398835747057820544e-01
4.790000000000000000e+02,2.010194594318396588e-01,1.575091786670349825e-01,6.414713619011254142e-01
4.799999999999999432e+02,2.009038997863903664e-01,1.557475395911813165e-01,6.433485606224282893e-01
4.809999999999999432e+02,2.003297955578341449e-01,1.541430408097589355e-01,6.455271636324069195e-01
4.820000000000000000e+02,1.993046225002499672e-01,1.526826047102740058e-01,6.480127727894759992e-01
4.829999999999999432e+02,1.978313563187871771e-01,1.513895448457184822e-01,6.507790988354942296e-01
4.839999999999999432e+02,1.959238048182353753e-01,1.502574236077189318e-01,6.538187715740457762e-01
4.850000000000000000e+02,1.936040023049996339e-01,1.492829248818807741e-01,6.571130728131195919e-01
4.860000000000000000e+02,1.908872770580134215e-01,1.484566240266593506e-01,6.606560989153271723e-01
4.869999999999999432e+02,1.877647984909764645e-01,1.477559593732748755e-01,6.644792421357486045e-01
4.880000000000000568e+02,1.842734848907695566e-01,1.471839457942550056e-01,6.685425693149754656e-01
4.890000000000000000e+02,1.804481868012009493e-01,1.467393229384022502e-01,6.728124902603969115e-01
4.899999999999999432e+02,1.763085465893418080e-01,1.464161864514206546e-01,6.772752669592375652e-01
4.909999999999999432e+02,1.718785212041628319e-01,1.462085737138999753e-01,6.819129050819372484e-01
4.920000000000000000e+02,1.671841994100411455e-01,1.461104744800333921e-01,6.867053261099254069e-01
4.930000000000000000e+02,1.622524895968834591e-01,1.461063176609954384e-01,6.916411927421211026e-01
4.939999999999999432e+02,1.571130955526226780e-01,1.461998503611372791e-01,6.966870540862400984e-01
4.949999999999999432e+02,1.517975920380965626e-01,1.463849004846110302e-01,7.018175074772924349e-01
4.960000000000000000e+02,1.463407505674336195e-01,1.466545569728066045e-01,7.070046924597597204e-01
4.969999999999999432e+02,1.407891066152353321e-01,1.469620047146030506e-01,7.122488886701615618e-01
4.979999999999999432e+02,1.351755283991748491e-01,1.473396699929290787e-01,7.174848016078960722e-01
4.990000000000000000e+02,1.295391349096522982e-01,1.477808650937978696e-01,7.226799999965498600e-01
5.000000000000000000e+02,1.239192135512547643e-01,1.482772102150199389e-01,7.278035762337252690e-01
5.009999999999999432e+02,1.183660077372001296e-01,1.488199133431434840e-01,7.328140789196563309e-01
5.020000000000000000e+02,1.129163034734755183e-01,1.494051066368162206e-01,7.376785898897082472e-01
5.030000000000000000e+02,1.076149690101200901e-01,1.500255860723094248e-01,7.423594449175704435e-01
5.039999999999999432e+02,1.025078182920300812e-01,1.506740331150237255e-01,7.468181485929462626e-01
5.049999999999999432e+02,9.767499388864726850e-02,1.513554387014622582e-01,7.509695674098904039e-01
5.060000000000000000e+02,9.310891121030570594e-02,1.520404673203868129e-01,7.548506214693074812e-01
5.070000000000000000e+02,8.889449932028729850e-02,1.527260608972613176e-01,7.583794397824514810e-01
5.079999999999999432e+02,8.506202768238441125e-02,1.534085554891948255e-01,7.615294168284207910e-01
5.089999999999998863e+02,8.161424277226170254e-02,1.540628672876079852e-01,7.643228899401303122e-01
5.100000000000000000e+02,7.863129145184136193e-02,1.546996720280140181e-01,7.666690365201446200e-01
5.109999999999999432e+02,7.615923766037589748e-02,1.553140056278348446e-01,7.685267567117892717e-01
5.119999999999999432e+02,7.423702191779182891e-02,1.558990507001101200e-01,7.698639273820980788e-01
5.130000000000000000e+02,7.291477608599890303e-02,1.564465187837261462e-01,7.706387051302748814e-01
5.140000000000000000e+02,7.221247350371463869e-02,1.569506753597698645e-01,7.708368511365155662e-01
5.149999999999998863e+02,7.215056597807799343e-02,1.574066598250827842e-01,7.704427741968391530e-01
5.160000000000000000e+02,7.275813089620877805e-02,1.578150613655026069e-01,7.694268077382886428e-01
5.170000000000000000e+02,7.405834994043046515e-02,1.580457472590210410e-01,7.678959028005485354e-01
5.180000000000000000e+02,7.601700497963238823e-02,1.580638808708944298e-01,7.659191141494732236e-01
5.189999999999998863e+02,7.860235890664282743e-02,1.580285101635593437e-01,7.633691309297978567e-01
5.200000000000000000e+02,8.181333934549792075e-02,1.579382131797274491e-01,7.602484474747746024e-01
5.210000000000000000e+02,8.564813207044671972e-02,1.577866827532385940e-01,7.565651851763146585e-01
5.219999999999998863e+02,9.009480923750383397e-02,1.575742658450187406e-01,7.523309249174774394e-01
5.229999999999998863e+02,9.514051382175274518e-02,1.573065265253365819e-01,7.475529596529106868e-01
5.240000000000000000e+02,1.007666861323991275e-01,1.569844595695808198e-01,7.422488542980200110e-01
5.250000000000000000e+02,1.069509520871498170e-01,1.566096180115827685e-01,7.364394299012674283e-01
5.259999999999998863e+02,1.136565512762381103e-01,1.561859492618666301e-01,7.301574994618953429e-01
5.270000000000000000e+02,1.208667282393900838e-01,1.557124197730407333e-01,7.234208519875692245e-01
5.280000000000000000e+02,1.285443764335647276e-01,1.551961018609911980e-01,7.162595217054440466e-01
5.289999999999998863e+02,1.366508155712225503e-01,1.546427766622874844e-01,7.087064077664899653e-01
5.300000000000000000e+02,1.451557322936887495e-01,1.540518587384636928e-01,7.007924089678475577e-01
5.310000000000000000e+02,1.540012519501937072e-01,1.534288734578023727e-01,6.925698745920039201e-01
5.320000000000000000e+02,1.631687019803515493e-01,1.527757382351140059e-01,6.840555597845343616e-01
5.330000000000000000e+02,1.726206116835682369e-01,1.520967612322254303e-01,6.752826270842062772e-01
5.340000000000000000e+02,1.823194863375297570e-01,1.513963650060594635e-01,6.662841486564108351e-01
5.350000000000000000e+02,1.922237396404848364e-01,1.506690735789830982e-01,6.571071867805320377e-01
5.359999999999998863e+02,2.023279521155084415e-01,1.499197041939704655e-01,6.477523436905210374e-01
5.369999999999998863e+02,2.125721702948237812e-01,1.491628586555680258e-01,6.382649710496082207e-01
5.380000000000000000e+02,2.229217497728459285e-01,1.484030102742571189e-01,6.286752399528969804e-01
5.389999999999998863e+02,2.333434385223889795e-01,1.476445501817577610e-01,6.190120112958532594e-01
5.399999999999998863e+02,2.438297441907991414e-01,1.468831419220389123e-01,6.092871138871619463e-01
5.410000000000000000e+02,2.542958608013763389e-01,1.461331564374877823e-01,5.995709827611358511e-01
5.420000000000000000e+02,2.647424201577586178e-01,1.453975486843079312e-01,5.898600311579333955e-01
5.429999999999998863e+02,2.751432829036111194e-01,1.446801414071942626e-01,5.801765756891945625e-01
5.440000000000000000e+02,2.854709985153872087e-01,1.439837167539169682e-01,5.705452847306958786e-01
5.450000000000000000e+02,2.956933695573971677e-01,1.433090267786657490e-01,5.609976036639371388e-01
5.459999999999998863e+02,3.058027179843473276e-01,1.426627546820211367e-01,5.515345273336315080e-01
5.470000000000000000e+02,3.157805523376516210e-01,1.420480039527491078e-01,5.421714437095993544e-01
5.480000000000000000e+02,3.256101718580369786e-01,1.414677030972051330e-01,5.329221250447578884e-01
5.490000000000000000e+02,3.352963639380087679e-01,1.409251725855293347e-01,5.237784634764619529e-01
5.499999999999998863e+02,3.448363400993659789e-01,1.404237690660503635e-01,5.147398908345837132e-01
5.510000000000000000e+02,3.541887702225568479e-01,1.399653261586673858e-01,5.058459036187757940e-01
5.520000000000000000e+02,3.633361023595949590e-01,1.395555170102329434e-01,4.971083806301721530e-01
5.529999999999998863e+02,3.722755439768717922e-01,1.391935825957097694e-01,4.885308734274184106e-01
5.539999999999998863e+02,3.809637335240347311e-01,1.388728413615004376e-01,4.801634251144647481e-01
5.550000000000000000e+02,3.893943282964295038e-01,1.385943413448816053e-01,4.720113303586889186e-01
5.560000000000000000e+02,3.975985026383499488e-01,1.383679402493130650e-01,4.640335571123369585e-01
5.569999999999998863e+02,4.055719457330403954e-01,1.381953605025822707e-01,4.562326937643772506e-01
5.580000000000000000e+02,4.133112310975174397e-01,1.380782497845980117e-01,4.486105191178845208e-01
5.590000000000000000e+02,4.208383658448118236e-01,1.380210180577595980e-01,4.411406160974286061e-01
5.599999999999998863e+02,4.281511568262644785e-01,1.380259352164866227e-01,4.338229079572488711e-01
5.610000000000000000e+02,4.352234818486163115e-01,1.380919498750447783e-01,4.266845682763389380e-01
5.620000000000000000e+02,4.420544934556581707e-01,1.382205701275863730e-01,4.197249364167554564e-01
5.630000000000000000e+02,4.486438419260033728e-01,1.384132878857473603e-01,4.129428701882492669e-01
5.640000000000000000e+02,4.548140667530695125e-01,1.386416372293079735e-01,4.065442960176224307e-01
5.650000000000000000e+02,4.605283666366374318e-01,1.389010857701702406e-01,4.005705475931923276e-01
5.660000000000000000e+02,4.660084068491883169e-01,1.392271611794743402e-01,3.947644319713373706e-01
5.669999999999998863e+02,4.712553344160446134e-01,1.396210798090972982e-01,3.891235857748580607e-01
5.679999999999998863e+02,4.762704491695532449e-01,1.400840889892300545e-01,3.836454618412166173e-01
5.690000000000000000e+02,4.810636961333636386e-01,1.406162253600578005e-01,3.783200785065785610e-01
5.699999999999998863e+02,4.856479013880270479e-01,1.412175319558860165e-01,3.731345666560869079e-01
5.709999999999998863e+02,4.900046418025514883e-01,1.418925258315209548e-01,3.681028323659276125e-01
5.720000000000000000e+02,4.941354296161207249e-01,1.426426716433581987e-01,3.632218987405211319e-01
5.730000000000000000e+02,4.980417670246187756e-01,1.434695006227141023e-01,3.584887323526670944e-01
5.739999999999998863e+02,5.017251209398341238e-01,1.443746166298740252e-01,3.539002624302918232e-01
5.750000000000000000e+02,5.051809717688836576e-01,1.453614241602115553e-01,3.494576040709047593e-01
5.760000000000000000e+02,5.084165520438415076e-01,1.464298615669868131e-01,3.451535863891717071e-01
5.769999999999998863e+02,5.114315545454789502e-01,1.475810910016232269e-01,3.409873544528978506e-01
5.780000000000000000e+02,5.142242480792816872e-01,1.488158168531064640e-01,3.369599350676118488e-01
5.790000000000000000e+02,5.168000283386797733e-01,1.501380583300807037e-01,3.330619133312395230e-01
5.800000000000000000e+02,5.191535138982840136e-01,1.515396413362077865e-01,3.293068447655081998e-01
5.809999999999998863e+02,5.212764824441228351e-01,1.530121186528719812e-01,3.257113989030051560e-01
5.819999999999998863e+02,5.231875300724070366e-01,1.545766908401988160e-01,3.222357790873941474e-01
5.830000000000000000e+02,5.248870869527970662e-01,1.562357342678852568e-01,3.188771787793176493e-01
5.839999999999998863e+02,5.263753967284202639e-01,1.579917414853974911e-01,3.156328617861822172e-01
5.849999999999998863e+02,5.276542389438042546e-01,1.598482895132061488e-01,3.124974715429895689e-01
5.860000000000000000e+02,5.287360776794407524e-01,1.618278435708961904e-01,3.094360787496630572e-01
5.870000000000000000e+02,5.296039105166119310e-01,1.639144905927713558e-01,3.064815988906167132e-01
5.879999999999998863e+02,5.302570698560662432e-01,1.661113179250285621e-01,3.036316122189052225e-01
5.890000000000000000e+02,5.306946583890420621e-01,1.684215501000000115e-01,3.008837915109578987e-01
5.900000000000000000e+02,5.309155436677381878e-01,1.708485509830686699e-01,2.982359053491931422e-01
5.909999999999998863e+02,5.309199136785905937e-01,1.733879053672154613e-01,2.956921809541939172e-01
5.920000000000000000e+02,5.307041161203054358e-01,1.760438624969621058e-01,2.932520213827324307e-01
5.930000000000000000e+02,5.302664751156559442e-01,1.788279919627743242e-01,2.909055329215697316e-01
5.940000000000000000e+02,5.296048878431306450e-01,1.817442266539097961e-01,2.886508855029595866e-01
5.949999999999998863e+02,5.287169963973067377e-01,1.847966416436173098e-01,2.864863619590759525e-01
5.960000000000000000e+02,5.276001874475109155e-01,1.879894516075011068e-01,2.844103609449879499e-01
5.970000000000000000e+02,5.262523067369867524e-01,1.913226764312735417e-01,2.824250168317397058e-01
5.979999999999998863e+02,5.246699315575812372e-01,1.948043868442975446e-01,2.805256815981211904e-01
5.989999999999998863e+02,5.228496487354494793e-01,1.984396424556221505e-01,2.787107088089283424e-01
6.000000000000000000e+02,5.207878651324225894e-01,2.022331495152807912e-01,2.769789853522965917e-01
6.009999999999998863e+02,5.184892332687343064e-01,2.061600367818380020e-01,2.753507299494276639e-01
6.019999999999998863e+02,5.159447369259834160e-01,2.102512288832966703e-01,2.738040341907199138e-01
6.030000000000000000e+02,5.131575327540106590e-01,2.144997606537225876e-01,2.723427065922667811e-01
6.040000000000000000e+02,5.101161314775261024e-01,2.189232352559969674e-01,2.709606332664769024e-01
6.049999999999998863e+02,5.068131035241975058e-01,2.235267216722063022e-01,2.696601748035961643e-01
6.060000000000000000e+02,5.032099062751881347e-01,2.283513356268596639e-01,2.684387580979522014e-01
6.070000000000000000e+02,4.993362050206924252e-01,2.333681062628690239e-01,2.672956887164385509e-01
6.079999999999998863e+02,4.951856129992961431e-01,2.385837555658627263e-01,2.662306314348410474e-01
6.090000000000000000e+02,4.907485374144528456e-01,2.440086094639284942e-01,2.652428531216186047e-01
6.100000000000000000e+02,4.860252247511215318e-01,2.496404788806886599e-01,2.643342963681898361e-01
6.110000000000000000e+02,4.810343935012081906e-01,2.554417359597499493e-01,2.635238705390418046e-01
6.119999999999998863e+02,4.757508088217348163e-01,2.614560260124727531e-01,2.627931651657924306e-01
6.129999999999998863e+02,4.701697288055211033e-01,2.676872631944405279e-01,2.621430080000383689e-01
6.140000000000000000e+02,4.642879302732202396e-01,2.741390707416853090e-01,2.615729989850944515e-01
6.149999999999998863e+02,4.581049066325043606e-01,2.808151097931486095e-01,2.610799835743470299e-01
6.159999999999998863e+02,4.515780443866244109e-01,2.877672004576543041e-01,2.606547551557212850e-01
6.170000000000000000e+02,4.447329578004181050e-01,2.949509577158417883e-01,2.603160844837401067e-01
6.180000000000000000e+02,4.375665136902082142e-01,3.023676550125531381e-01,2.600658312972385922e-01
6.189999999999998863e+02,4.300762351534031525e-01,3.100177167578884174e-01,2.599060480887084856e-01
6.200000000000000000e+02,4.222548093843327410e-01,3.178741007498363524e-01,2.598710898658308510e-01
6.210000000000000000e+02,4.140229466926044766e-01,3.257279671737330906e-01,2.602490861336624883e-01
6.219999999999998863e+02,4.054784774576749573e-01,3.337886185403837747e-01,2.607329040019412680e-01
6.230000000000000000e+02,3.966233261207038341e-01,3.420510328975036596e-01,2.613256409817925063e-01
6.240000000000000000e+02,3.874607304865922419e-01,3.505087661449473591e-01,2.620305033684603990e-01
6.250000000000000000e+02,3.779953860788377584e-01,3.591538304049561314e-01,2.628507835162061101e-01
6.259999999999998863e+02,3.682877930555929491e-01,3.679142647398709887e-01,2.637979422045360067e-01
6.269999999999998863e+02,3.582940200788418683e-01,3.768535754070220789e-01,2.648524045141361083e-01
6.280000000000000000e+02,3.480232932682757463e-01,3.859495172572963706e-01,2.660271894744278831e-01
6.289999999999998863e+02,3.374875381607571612e-01,3.951837405239715939e-01,2.673287213152712449e-01
6.299999999999998863e+02,3.267005346046696346e-01,4.045393110266509162e-01,2.687601543686794492e-01
6.310000000000000000e+02,3.156782762614158133e-01,4.139972111033775048e-01,2.703245126352066263e-01
6.319999999999998863e+02,3.044390600583822271e-01,4.235362998906758714e-01,2.720246400509419571e-01
6.329999999999998863e+02,2.930076030205849835e-01,4.331270120523789124e-01,2.738653849270360485e-01
6.340000000000000000e+02,2.814098569613765477e-01,4.427405032242292537e-01,2.758496398143941986e-01
6.350000000000000000e+02,2.696655425428470254e-01,4.523587322976599934e-01,2.779757251594929812e-01
6.359999999999998863e+02,2.577310845326020727e-01,4.620162690770804881e-01,2.802526463903174392e-01
6.370000000000000000e+02,2.456972184298226725e-01,4.716126168478775860e-01,2.826901647222996861e-01
6.380000000000000000e+02,2.336066589142145045e-01,4.811169769166099841e-01,2.852763641691755114e-01
6.389999999999998863e+02,2.214943253769532105e-01,4.904943134840429320e-01,2.880113611390038297e-01
6.400000000000000000e+02,2.093984978811634368e-01,4.997088415784770032e-01,2.908926605403596155e-01
6.409999999999998863e+02,1.974278141801383835e-01,5.086669772932386202e-01,2.939052085266229408e-01
6.420000000000000000e+02,1.855487548018585064e-01,5.173923710488207428e-01,2.970588741493207507e-01
6.429999999999998863e+02,1.738008121493270497e-01,5.258482579915724209e-01,3.003509298591005017e-01
6.439999999999998863e+02,1.622238800265475289e-01,5.339982004142094230e-01,3.037779195592430481e-01
6.450000000000000000e+02,1.508578157457602653e-01,5.418065261495277340e-01,3.073356581047119729e-01
6.459999999999998863e+02,1.396752725261429517e-01,5.492812394826318556e-01,3.110434879912251649e-01
6.469999999999998863e+02,1.287863748468323077e-01,5.563434236307976954e-01,3.148702015223699968e-01
6.480000000000000000e+02,1.182265208544589913e-01,5.629584268925397206e-01,3.188150522530013298e-01
6.490000000000000000e+02,1.080314245098888404e-01,5.690974194865132674e-01,3.228711560035979478e-01
6.499999999999998863e+02,9.823435088293336337e-02,5.747345887550879828e-01,3.270310603619787093e-01
6.510000000000000000e+02,8.892188252337084042e-02,5.798268721139683279e-01,3.312512453626608178e-01
6.520000000000000000e+02,8.005934785080530414e-02,5.843854363496405746e-01,3.355552157995541629e-01
6.529999999999998863e+02,7.167564276974562609e-02,5.883876798615788051e-01,3.399366773686756105e-01
6.540000000000000000e+02,6.379250880495430931e-02,5.918177942654592183e-01,3.443896969295864308e-01
6.549999999999998863e+02,5.641534227099508081e-02,5.946835789714837173e-01,3.489010787575211880e-01
6.560000000000000000e+02,4.955537865896039035e-02,5.969824811784848473e-01,3.534621401625547277e-01
6.570000000000000000e+02,4.321974297019103711e-02,5.987159540662326807e-01,3.580643029635762753e-01
6.579999999999998863e+02,3.741147657653948883e-02,5.998893385709047621e-01,3.626991848525557005e-01
6.590000000000000000e+02,3.212963404229344372e-02,6.005116819344989976e-01,3.673586840232075934e-01
6.599999999999998863e+02,2.736783179136187752e-02,6.005924922362122498e-01,3.720396759724258207e-01
6.609999999999998863e+02,2.309263410875010344e-02,6.001213015567889997e-01,3.767860643344609350e-01
