wavelength_nm,R,T,A
4.000000000000000000e+02,3.445399199632530052e-01,7.897103578640314592e-02,5.764890442503437518e-01
4.010000000000000000e+02,3.513061554378227314e-01,8.139521847349789896e-02,5.672986260886794252e-01
4.020000000000000000e+02,3.567621300437027188e-01,8.378268340539647696e-02,5.594551865509007627e-01
4.030000000000000000e+02,3.608831016956182691e-01,8.612050943219869137e-02,5.529963888721830534e-01
4.039999999999999432e+02,3.636534017688685116e-01,8.840815015036583568e-02,5.479384480807656388e-01
4.050000000000000000e+02,3.650561427878196707e-01,9.065542950689169099e-02,5.442884277052887354e-01
4.059999999999999432e+02,3.651402529153532361e-01,9.285548698846998739e-02,5.420042600961767487e-01
4.070000000000000000e+02,3.639540780571993706e-01,9.500422242930910144e-02,5.410416995134915696e-01
4.080000000000000000e+02,3.615708500237677647e-01,9.709135194018904402e-02,5.413377980360432051e-01
4.089999999999999432e+02,3.580800730496990769e-01,9.910188084146494270e-02,5.428180461088358832e-01
4.100000000000000000e+02,3.535966224508625966e-01,1.010348563767854285e-01,5.453685211723519055e-01
4.109999999999999432e+02,3.482607916042514962e-01,1.028727390269013886e-01,5.488664693688470875e-01
4.120000000000000000e+02,3.422218293232057174e-01,1.046011030969283551e-01,5.531770675798658443e-01
4.130000000000000000e+02,3.356420566672321804e-01,1.062092124400480231e-01,5.581487308927197688e-01
4.140000000000000000e+02,3.284624205832183397e-01,1.072025012355073137e-01,5.643350781812743744e-01
4.150000000000000000e+02,3.211074401188986349e-01,1.078452745850378008e-01,5.710472852960635226e-01
4.159999999999999432e+02,3.138619963126560442e-01,1.083005656163338604e-01,5.778374380710100677e-01
4.170000000000000000e+02,3.069066968946782548e-01,1.085568228510648686e-01,5.845364802542568627e-01
4.179999999999999432e+02,3.004019608598713087e-01,1.086103904389750519e-01,5.909876487011536117e-01
4.190000000000000000e+02,2.944947082493420965e-01,1.084570063764824094e-01,5.970482853741755358e-01
4.200000000000000000e+02,2.892947583958652702e-01,1.080821679405787328e-01,6.026230736635560525e-01
4.209999999999999432e+02,2.849341172025159352e-01,1.075017020878799856e-01,6.075641807096040514e-01
4.220000000000000000e+02,2.814852119905160710e-01,1.067232569310642004e-01,6.117915310784197702e-01
4.229999999999999432e+02,2.789912820383002590e-01,1.057563997114017024e-01,6.152523182502980248e-01
4.240000000000000000e+02,2.774857941289341490e-01,1.046240496102751882e-01,6.178901562607906905e-01
4.249999999999999432e+02,2.769600685148270736e-01,1.033515324949184078e-01,6.196883989902546297e-01
4.260000000000000000e+02,2.773575831150606463e-01,1.019932549911226477e-01,6.206491618938166921e-01
4.270000000000000000e+02,2.786427696497958406e-01,1.005304051894540945e-01,6.208268251607500510e-01
4.279999999999999432e+02,2.807513118129918439e-01,9.897374878041331758e-02,6.202749394065948385e-01
4.290000000000000000e+02,2.836112799662748873e-01,9.734241187122384675e-02,6.190463081625012798e-01
4.299999999999999432e+02,2.871316569280241149e-01,9.566761099341485053e-02,6.172007320785610762e-01
4.310000000000000000e+02,2.912164196842175201e-01,9.396731269108898887e-02,6.148162676246935465e-01
4.319999999999999432e+02,2.957680317110490398e-01,9.225983848189801828e-02,6.119721298070529558e-01
4.330000000000000000e+02,3.006894419907743532e-01,9.056384575557034633e-02,6.087467122536552866e-01
4.340000000000000000e+02,3.058676073217470037e-01,8.889645706484657073e-02,6.052359356134063839e-01
4.349999999999999432e+02,3.112122731673879761e-01,8.727004634924813431e-02,6.015176804833638480e-01
4.360000000000000000e+02,3.167062273395835348e-01,8.566431992360541703e-02,5.976294527368110066e-01
4.369999999999999432e+02,3.222383501426775987e-01,8.410720623848622068e-02,5.936544436188362361e-01
4.380000000000000000e+02,3.277436413515583125e-01,8.260219666767691649e-02,5.896541619807648127e-01
4.389999999999999432e+02,3.331247586935035532e-01,8.117702607406970805e-02,5.856982152324267110e-01
4.399999999999999432e+02,3.383147360573311446e-01,7.983947415212068466e-02,5.818457897905482401e-01
4.410000000000000000e+02,3.431735221007036762e-01,7.864169352826648474e-02,5.781847843710298251e-01
4.419999999999999432e+02,3.477584827776392107e-01,7.753324455689047934e-02,5.747082726654703100e-01
4.430000000000000000e+02,3.520138079374394713e-01,7.644816205754850769e-02,5.715380300050119100e-01
4.440000000000000000e+02,3.558508665140933114e-01,7.520293526517117522e-02,5.689461982207354440e-01
4.450000000000000000e+02,3.592974805042903341e-01,7.406404278651197715e-02,5.666384767091976471e-01
4.460000000000000000e+02,3.623633206967667997e-01,7.301220986119191791e-02,5.646244694420412547e-01
4.469999999999999432e+02,3.649675459781449027e-01,7.208819047867184859e-02,5.629442635431831654e-01
4.480000000000000000e+02,3.671315267699132856e-01,7.126707320558847703e-02,5.616014000244982096e-01
4.489999999999999432e+02,3.688450561358399549e-01,7.054738305575808388e-02,5.606075608084020168e-01
4.500000000000000000e+02,3.701247328356988553e-01,6.990464191125808635e-02,5.599706252530429751e-01
4.510000000000000000e+02,3.709424920929781377e-01,6.935621839074820882e-02,5.597012895162736257e-01
4.519999999999999432e+02,3.712918795842253261e-01,6.890799826815457996e-02,5.598001221476200939e-01
4.530000000000000000e+02,3.711610522853123761e-01,6.856091253765975169e-02,5.602780351770278999e-01
4.539999999999999432e+02,3.705521416129721746e-01,6.831243814318053997e-02,5.611354202438472161e-01
4.550000000000000000e+02,3.694711510491957562e-01,6.815662073303910273e-02,5.623722282177652243e-01
4.559999999999999432e+02,3.679197012985181980e-01,6.809095142328530637e-02,5.639893472781964956e-01
4.570000000000000000e+02,3.659025734782823669e-01,6.811015946295646828e-02,5.659872670587611232e-01
4.580000000000000000e+02,3.634183635508481114e-01,6.821880385379885947e-02,5.683628325953530291e-01
4.589999999999999432e+02,3.604703416848361597e-01,6.841613537312736526e-02,5.711135229420364334e-01
4.600000000000000000e+02,3.570970134757142644e-01,6.870253112143273611e-02,5.742004554028529162e-01
4.609999999999999432e+02,3.532873263228973881e-01,6.908559074856455984e-02,5.776270829285380382e-01
4.620000000000000000e+02,3.490368789336982247e-01,6.955428086892098682e-02,5.814088401973808162e-01
4.629999999999999432e+02,3.443531847377665489e-01,7.010879546557229058e-02,5.855380197966612021e-01
4.640000000000000000e+02,3.392453208788708818e-01,7.074902045928381511e-02,5.900056586618454002e-01
4.650000000000000000e+02,3.337227642706785957e-01,7.147401239628600744e-02,5.948032233330353691e-01
4.659999999999999432e+02,3.277841790131617583e-01,7.227722821503601569e-02,5.999385927718022815e-01
4.670000000000000000e+02,3.214408317304103813e-01,7.314826125639571630e-02,6.054109070131938886e-01
4.679999999999999432e+02,3.147129533446981209e-01,7.410306225883596387e-02,6.111839843964658181e-01
4.690000000000000000e+02,3.076115726408860662e-01,7.514027530123164322e-02,6.172481520578821934e-01
4.699999999999999432e+02,3.001773526752936072e-01,7.626448954824029125e-02,6.235581577764661709e-01
4.709999999999999432e+02,2.924638652757252655e-01,7.747928387583663534e-02,6.300568508484380992e-01
4.720000000000000000e+02,2.844686620754245943e-01,7.877486362026731026e-02,6.367564743043080400e-01
4.729999999999999432e+02,2.762233447592830626e-01,8.014980708578631208e-02,6.436268481549306530e-01
4.740000000000000000e+02,2.677187122301695754e-01,8.158594046580416870e-02,6.506953473040262281e-01
4.749999999999999432e+02,2.590210817508738494e-01,8.309490208104038100e-02,6.578840161680857834e-01
4.760000000000000000e+02,2.501859485606258704e-01,8.467822327585225461e-02,6.651358281635217917e-01
4.769999999999999432e+02,2.413279335967279393e-01,8.628390296577272134e-02,6.723881634374992977e-01
4.779999999999998863e+02,2.328372742062329581e-01,8.766092798897762162e-02,6.795017978047893648e-01
4.790000000000000000e+02,2.244320211627668094e-01,8.907921747379073107e-02,6.864887613634423902e-01
4.799999999999999432e+02,2.161731199041324047e-01,9.053301688680068238e-02,6.932938632090669406e-01
4.809999999999999432e+02,2.081090023392152821e-01,9.201699058213566595e-02,6.998740070786491074e-01
4.820000000000000000e+02,2.002984285221000582e-01,9.352572858244198595e-02,7.061758428954578726e-01
4.829999999999999432e+02,1.928352198308575516e-01,9.505085162320241199e-02,7.121139285459400226e-01
4.839999999999999432e+02,1.857915547728350714e-01,9.658452342638955412e-02,7.176239218007753884e-01
4.850000000000000000e+02,1.792526125708653328e-01,9.810942722654672488e-02,7.226379602025879700e-01
4.860000000000000000e+02,1.732830148393352809e-01,9.962145924500502570e-02,7.270955259156597350e-01
4.869999999999999432e+02,1.679638160666781788e-01,1.011008269219887679e-01,7.309353570113330534e-01
4.880000000000000568e+02,1.633603778260391826e-01,1.025466750864648946e-01,7.340929470874959506e-01
4.890000000000000000e+02,1.595363629633668456e-01,1.039509318048678910e-01,7.365127052317652634e-01
4.899999999999999432e+02,1.565487043002761203e-01,1.053083405862292182e-01,7.381429551134947031e-01
4.909999999999999432e+02,1.544512473464147162e-01,1.066107444172650770e-01,7.389380082363202762e-01
4.920000000000000000e+02,1.532909021660604498e-01,1.078499293537049375e-01,7.388591684802345849e-01
4.930000000000000000e+02,1.531014179669128727e-01,1.090149147802324942e-01,7.378836672528545915e-01
4.939999999999999432e+02,1.539174404472947455e-01,1.101021374273252612e-01,7.359804221253800627e-01
4.949999999999999432e+02,1.557582366811201824e-01,1.111054904631080115e-01,7.331362728557717645e-01
4.960000000000000000e+02,1.586321967069859451e-01,1.120186389763836582e-01,7.293491643166304383e-01
4.969999999999999432e+02,1.626013386624780288e-01,1.127946701826366693e-01,7.246039911548852741e-01
4.979999999999999432e+02,1.675825501167741149e-01,1.134745399379606945e-01,7.189429099452651073e-01
4.990000000000000000e+02,1.735504825632238346e-01,1.140568137439757906e-01,7.123927036928003886e-01
5.000000000000000000e+02,1.804699026407134976e-01,1.145411711771048974e-01,7.049889261821815634e-01
5.009999999999999432e+02,1.882844271818829573e-01,1.149256187620023434e-01,6.967899540561146576e-01
5.020000000000000000e+02,1.969513289579593596e-01,1.152154150929792092e-01,6.878332559490614173e-01
5.030000000000000000e+02,2.064111609585393137e-01,1.154136964547450017e-01,6.781751425867157401e-01
