wavelength_nm,R,T,A
4.000000000000000000e+02,6.247758994453649160e-04,8.295491725100322122e-02,9.164203068495514470e-01
4.010000000000000000e+02,9.139165867123134673e-04,8.249924560589337597e-02,9.165868378073942502e-01
4.020000000000000000e+02,1.295528673494435569e-03,8.213010030902853642e-02,9.165743710174769632e-01
4.030000000000000000e+02,1.739651569528460895e-03,8.183619157177536574e-02,9.164241568586961595e-01
4.039999999999999432e+02,2.216601731865304806e-03,8.161968372776792768e-02,9.161637145403667137e-01
4.050000000000000000e+02,2.696975138020632143e-03,8.149876338119220465e-02,9.158042614807871962e-01
4.059999999999999432e+02,3.154545737902285200e-03,8.148446385927042568e-02,9.153609904028272570e-01
4.070000000000000000e+02,3.565270965264703395e-03,8.156773613483007945e-02,9.148669928999052514e-01
4.080000000000000000e+02,3.909244619324958592e-03,8.173897893770094847e-02,9.143517764429740513e-01
4.089999999999999432e+02,4.172923532895524840e-03,8.198046150873004867e-02,9.138466149583743814e-01
4.100000000000000000e+02,4.341422653033840708e-03,8.232560800538017698e-02,9.133329693415860318e-01
4.109999999999999432e+02,4.407198224618852356e-03,8.276426242880979833e-02,9.128285393465713771e-01
4.120000000000000000e+02,4.365995167496626930e-03,8.329671880546406226e-02,9.123372860270393403e-01
4.130000000000000000e+02,4.216937122217037301e-03,8.393476418812483020e-02,9.118482986896581100e-01
4.140000000000000000e+02,3.949273703266247861e-03,8.429980984990176340e-02,9.117509164468320382e-01
4.150000000000000000e+02,3.590062501968430998e-03,8.462341735095403605e-02,9.117865201470775061e-01
4.159999999999999432e+02,3.160793928669154880e-03,8.504383605179015315e-02,9.117953700195406963e-01
4.170000000000000000e+02,2.681533669143113148e-03,8.554731193649117715e-02,9.117711543943656238e-01
4.179999999999999432e+02,2.173656929545661302e-03,8.614162430327663988e-02,9.116847187671777153e-01
4.190000000000000000e+02,1.663032010893049535e-03,8.682388638103223644e-02,9.115130816080747600e-01
4.200000000000000000e+02,1.178535745334215439e-03,8.757611384124049103e-02,9.112453504134252480e-01
4.209999999999999432e+02,7.527539931144632728e-04,8.841118061343228307e-02,9.108360653934532980e-01
4.220000000000000000e+02,4.205173784834988541e-04,8.932213573398899153e-02,9.102573468875275742e-01
4.229999999999999432e+02,2.184227593832422862e-04,9.029985640806778568e-02,9.094817208325489677e-01
4.240000000000000000e+02,1.848275475862049336e-04,9.135403073985592926e-02,9.084611417125578736e-01
4.249999999999999432e+02,3.591911535720276774e-04,9.247898148003118324e-02,9.071618273663967225e-01
