

Wavelength (nm), Reflectance
456.491, 0.0165316
455.84, 0.0168017
455.192, 0.0172887
454.545, 0.0180017
453.901, 0.018946
453.258, 0.0201252
452.617, 0.0215411
451.977, 0.0232012
451.34, 0.0251023
450.704, 0.0272393
450.07, 0.029606
449.438, 0.0321946
448.808, 0.0349767
448.179, 0.0379441
447.552, 0.0410941
446.927, 0.0444121
446.304, 0.0478825
445.682, 0.0515056
445.063, 0.0552649
444.444, 0.0591251
443.828, 0.0630664
443.213, 0.0670686
442.6, 0.0710644
441.989, 0.0749664
441.379, 0.0788521
440.771, 0.0827027
440.165, 0.0865002
439.56, 0.0902327
438.957, 0.0938969
438.356, 0.0974583
437.756, 0.100902
437.158, 0.104215
436.562, 0.107381
435.967, 0.110359
435.374, 0.113178
434.783, 0.115826
434.193, 0.118294
433.604, 0.120577
433.018, 0.122689
432.432, 0.124609
431.849, 0.126327
431.267, 0.12784
430.686, 0.129147
430.108, 0.130248
429.53, 0.131142
428.954, 0.131829
428.38, 0.132311
427.807, 0.132588
427.236, 0.132674
426.667, 0.132572
426.099, 0.132276
425.532, 0.131792
424.967, 0.131122
424.403, 0.130275
423.841, 0.129256
423.28, 0.128068
422.721, 0.126717
422.164, 0.125209
421.607, 0.123553
421.053, 0.12176
420.499, 0.119832
419.948, 0.117777
419.397, 0.115603
418.848, 0.113318
418.301, 0.110937
417.755, 0.108461
417.21, 0.105898
416.667, 0.103257
416.125, 0.100546
415.584, 0.0977756
415.045, 0.0949513
414.508, 0.0920816
413.972, 0.0891747
413.437, 0.0862388
412.903, 0.0831626
412.371, 0.0800337
411.84, 0.0769168
411.311, 0.0738192
410.783, 0.070748
410.256, 0.0677113
409.731, 0.0647153
409.207, 0.0617645
408.685, 0.0588646
408.163, 0.0560211
407.643, 0.0532408
407.125, 0.0505305
406.607, 0.0478893
406.091, 0.0453211
405.577, 0.0428292
405.063, 0.0404154
404.551, 0.0380792
404.04, 0.0358242
403.531, 0.033656
403.023, 0.0315759
402.516, 0.0295849
402.01, 0.0276811
401.506, 0.0258674
401.003, 0.0241439
400.501, 0.0225103
400, 0.020966



Wavelength (nm), Reflectance
800, 0.0453246
798.005, 0.0436131
796.02, 0.0419667
794.045, 0.0403821
792.079, 0.0388614
790.123, 0.037404
788.177, 0.0360112
786.241, 0.034684
784.314, 0.0334231
782.396, 0.0322276
780.488, 0.0311006
778.589, 0.0300423
776.699, 0.0290532
774.818, 0.028132
772.947, 0.0272353
771.084, 0.0264026
769.231, 0.0256333
767.386, 0.0249268
765.55, 0.0242822
763.723, 0.0236994
761.905, 0.0231765
760.095, 0.0227121
758.294, 0.0223044
756.501, 0.0219517
754.717, 0.0216498
752.941, 0.0213979
751.174, 0.0211906
749.415, 0.021004
747.664, 0.0208632
745.921, 0.020766
744.186, 0.0207097
742.459, 0.0206911
740.741, 0.0207071
739.03, 0.0207546
737.327, 0.02083
735.632, 0.0209297
733.945, 0.021051
732.265, 0.0211908
730.594, 0.0213461
728.929, 0.0215244
727.273, 0.0217512
725.624, 0.0219868
723.982, 0.0222283
722.348, 0.0224731
720.721, 0.0227185
719.101, 0.022959
717.489, 0.0231959
715.884, 0.0234277
714.286, 0.0236533
712.695, 0.0238721
711.111, 0.0240894
709.534, 0.0243009
707.965, 0.0245082
706.402, 0.024714
704.846, 0.0249189
703.297, 0.025124
701.754, 0.0253338
700.219, 0.0255529
698.69, 0.0257865
697.168, 0.0260406
695.652, 0.0263207
694.143, 0.0266349
692.641, 0.0269932
691.145, 0.0274056
689.655, 0.0278829
688.172, 0.0284309
686.695, 0.0290584
685.225, 0.0297872
683.761, 0.0306324
682.303, 0.0316101
680.851, 0.0327389
679.406, 0.0340397
677.966, 0.035527
676.533, 0.0372203
675.105, 0.0391394
673.684, 0.0413045
672.269, 0.0437375
670.86, 0.0464563
669.456, 0.0494833
668.058, 0.052837
666.667, 0.0565299
665.281, 0.0605771
663.9, 0.0649913
662.526, 0.069782
661.157, 0.0749555
659.794, 0.0805144
658.436, 0.0864495
657.084, 0.0927603
655.738, 0.0994404
654.397, 0.106476
653.061, 0.113848
651.731, 0.121577
650.407, 0.129619
649.087, 0.137918
647.773, 0.146441
646.465, 0.155153
645.161, 0.164022
643.863, 0.173011
642.57, 0.182081
641.283, 0.191196
640, 0.200318
638.723, 0.209414
637.45, 0.218452
636.183, 0.2274
634.921, 0.236212
633.663, 0.244874
632.411, 0.253371
631.164, 0.261686
629.921, 0.269795
628.684, 0.277683
627.451, 0.285335
626.223, 0.292741
625, 0.299893
623.782, 0.306784
622.568, 0.313407
621.359, 0.319758
620.155, 0.325833
618.956, 0.331527
617.761, 0.336907
616.57, 0.342
615.385, 0.346809
614.203, 0.351333
613.027, 0.355581
611.855, 0.359553
610.687, 0.363249
609.524, 0.366672
608.365, 0.369827
607.211, 0.372711
606.061, 0.375329
604.915, 0.37769
603.774, 0.379797
602.637, 0.381654
601.504, 0.383268
600.375, 0.384645
599.251, 0.385782
598.131, 0.386682
597.015, 0.38735
595.903, 0.387788
594.796, 0.387999
593.692, 0.387986
592.593, 0.387753
591.497, 0.387303
590.406, 0.386638
589.319, 0.385761
588.235, 0.384674
587.156, 0.38338
586.081, 0.381882
585.009, 0.380182
583.942, 0.378292
582.878, 0.376206
581.818, 0.373927
580.762, 0.371457
579.71, 0.368796
578.662, 0.365938
577.617, 0.362888
576.577, 0.359654
575.54, 0.356238
574.506, 0.352642
573.477, 0.348865
572.451, 0.344909
571.429, 0.34078
570.41, 0.336483
569.395, 0.332018
568.384, 0.327399
567.376, 0.322642
566.372, 0.317727
565.371, 0.312657
564.374, 0.307436
563.38, 0.302031
562.39, 0.296319
561.404, 0.290472
560.42, 0.284497
559.441, 0.278398
558.464, 0.272183
557.491, 0.265906
556.522, 0.259522
555.556, 0.253037
554.593, 0.24646
553.633, 0.239796
552.677, 0.232989
551.724, 0.226101
550.775, 0.219153
549.828, 0.212152
548.885, 0.205108
547.945, 0.198066
547.009, 0.191015
546.075, 0.18395
545.145, 0.17688
544.218, 0.169819
543.294, 0.162771
542.373, 0.15575
541.455, 0.148775
540.541, 0.141859
539.629, 0.135015
538.721, 0.128284
537.815, 0.121697
536.913, 0.11522
536.013, 0.108868
535.117, 0.102653
534.224, 0.0965867
533.333, 0.0906799
532.446, 0.0849478
531.561, 0.0794026
530.68, 0.0740559
529.801, 0.068916
528.926, 0.0639775
528.053, 0.0592723
527.183, 0.0548095
526.316, 0.0505974
525.452, 0.0466432
524.59, 0.0429604
523.732, 0.0395457
522.876, 0.036403
522.023, 0.0335355
521.173, 0.0309452
520.325, 0.0286323
519.481, 0.0265972
518.639, 0.024839
517.799, 0.0233552
516.963, 0.0221422
516.129, 0.0212007
515.298, 0.0205332
514.469, 0.0201301
513.644, 0.0199823
512.821, 0.0200803
512, 0.0204159
511.182, 0.0209813
510.367, 0.0217603
509.554, 0.0227404
508.744, 0.0239083
507.937, 0.025248
507.132, 0.0267346
506.329, 0.028367
505.529, 0.0301315
504.732, 0.0320144
503.937, 0.0340029
503.145, 0.0360948
502.355, 0.038264
501.567, 0.0404969
500.782, 0.0427802
500, 0.045101
499.22, 0.0474413
498.442, 0.0497938
497.667, 0.0521474
496.894, 0.0544908
496.124, 0.0568129
495.356, 0.0590698
494.59, 0.0612676
493.827, 0.0634081
493.066, 0.0654822
492.308, 0.0674816
491.551, 0.0693984
490.798, 0.0712253
490.046, 0.0729555
489.297, 0.0745823
488.55, 0.0760998
487.805, 0.0775029
487.062, 0.0787865
486.322, 0.0799451
485.584, 0.0809742
484.848, 0.0818702
484.115, 0.0826302
483.384, 0.0832518
482.655, 0.0837304
481.928, 0.0840641
481.203, 0.0842515
480.48, 0.0842933
479.76, 0.084198
479.042, 0.0839578
478.326, 0.0835734
477.612, 0.0830462
476.9, 0.0823777
476.19, 0.081519
475.483, 0.0805244
474.777, 0.0793991
474.074, 0.078148
473.373, 0.0767767
472.674, 0.0753326
471.976, 0.0737979
471.281, 0.0721672
470.588, 0.0704486
469.897, 0.0686511
469.208, 0.0667686
468.521, 0.0648149
467.836, 0.0628137
467.153, 0.0607742
466.472, 0.058713
465.793, 0.056661
465.116, 0.0546359
464.441, 0.0526332
463.768, 0.0506688
463.097, 0.0487596
462.428, 0.0469219
461.76, 0.0451719
461.095, 0.0435307
460.432, 0.0420165
459.77, 0.040648
459.11, 0.0394431
458.453, 0.0384187
457.797, 0.0375943
457.143, 0.036987
456.491, 0.0366129
455.84, 0.0364868
455.192, 0.0366191
454.545, 0.0370244
453.901, 0.0377131
453.258, 0.0386927
452.617, 0.0399689
451.977, 0.041549
451.34, 0.0434354
450.704, 0.0456249
450.07, 0.0481122
449.438, 0.0508889
448.808, 0.0539252
448.179, 0.0572096
447.552, 0.0607363
446.927, 0.0644868
446.304, 0.0684407
445.682, 0.0725944
445.063, 0.0769258
444.444, 0.0813928
443.828, 0.0859687
443.213, 0.0906266
442.6, 0.0952906
441.989, 0.0998627
441.379, 0.104417
440.771, 0.108929
440.165, 0.113375
439.56, 0.117738
438.957, 0.122012
438.356, 0.126155
437.756, 0.13015
437.158, 0.133979
436.562, 0.137625
435.967, 0.141039
435.374, 0.144255
434.783, 0.147257
434.193, 0.150036
433.604, 0.152584
433.018, 0.154919
432.432, 0.157016
431.849, 0.158866
431.267, 0.160466
430.686, 0.161815
430.108, 0.162913
429.53, 0.163761
428.954, 0.16436
428.38, 0.16471
427.807, 0.164817
427.236, 0.164692
426.667, 0.164341
426.099, 0.163758
425.532, 0.162951
424.967, 0.161923
424.403, 0.160685
423.841, 0.159242
423.28, 0.157599
422.721, 0.155763
422.164, 0.153743
421.607, 0.151548
421.053, 0.149192
420.499, 0.146678
419.948, 0.144015
419.397, 0.141213
418.848, 0.138282
418.301, 0.13524
417.755, 0.132088
417.21, 0.128838
416.667, 0.125498
416.125, 0.122081
415.584, 0.118597
415.045, 0.115056
414.508, 0.111467
413.972, 0.10784
413.437, 0.104187
412.903, 0.100398
412.371, 0.0965647
411.84, 0.0927543
411.311, 0.0889762
410.783, 0.0852393
410.256, 0.0815534
409.731, 0.0779263
409.207, 0.0743643
408.685, 0.0708745
408.163, 0.0674637
407.643, 0.0641399
407.125, 0.0609105
406.607, 0.057776
406.091, 0.0547407
405.577, 0.0518088
405.063, 0.0489821
404.551, 0.0462605
404.04, 0.0436471
403.531, 0.0411482
403.023, 0.038765
402.516, 0.0364981
402.01, 0.0343443
401.506, 0.0323068
401.003, 0.0303849
400.501, 0.0285774
400, 0.0268829



