lambda_nm,Rs,Ts,Rp,Tp
607.211,0.262609,0.0223571,0.26329,0.0224159
606.061,0.280145,0.0210096,0.282621,0.0224334
604.915,0.290181,0.0198683,0.295041,0.022556
603.774,0.281647,0.0192448,0.287796,0.0234745
602.637,0.263413,0.018921,0.268301,0.0253216
601.504,0.255904,0.0180917,0.258148,0.0269963
600.375,0.268084,0.0163183,0.269958,0.0271869
599.251,0.283511,0.0147088,0.287136,0.0268695
598.131,0.285108,0.0137079,0.289765,0.026528
597.015,0.273212,0.0132066,0.276659,0.0259964
595.903,0.262191,0.0126929,0.264443,0.0247581
594.796,0.265244,0.011669,0.268907,0.0225064
593.692,0.27722,0.0105837,0.283558,0.0201468
592.593,0.283125,0.0097992,0.291051,0.0181665
591.497,0.277701,0.00941286,0.284786,0.0166719
590.406,0.269004,0.00923288,0.272949,0.0153825
589.319,0.267416,0.00964752,0.268018,0.0148311
588.235,0.27552,0.00993134,0.275248,0.0139589
587.156,0.283625,0.0102076,0.285075,0.012962
586.081,0.28292,0.0106638,0.286012,0.0121373
585.009,0.275619,0.0113616,0.277935,0.0115513
583.942,0.271522,0.0127125,0.271108,0.0116635
582.878,0.277582,0.0140411,0.275052,0.0118302
581.818,0.288184,0.0152195,0.285246,0.0119127
580.762,0.291225,0.0166065,0.288272,0.0121873
579.71,0.284059,0.0182954,0.279316,0.0128581
578.662,0.278781,0.0185354,0.26966,0.0124164
577.617,0.287097,0.0180321,0.273922,0.0112492
576.577,0.299144,0.0176407,0.284949,0.0100576
575.54,0.300053,0.0174652,0.2881,0.00913408
574.506,0.289286,0.0173938,0.280925,0.00848927
573.477,0.279376,0.0170833,0.273995,0.00782126
572.451,0.279863,0.0163602,0.276092,0.00702676
571.429,0.286236,0.0153581,0.282918,0.00628681
570.41,0.28861,0.0142661,0.285719,0.00571158
569.395,0.284261,0.0132351,0.282412,0.00530039
568.384,0.278623,0.0125541,0.277755,0.00521664
567.376,0.277971,0.0124382,0.277277,0.00569842
566.372,0.283401,0.0119042,0.282366,0.00619957
565.371,0.287346,0.0110737,0.286377,0.00675181
564.374,0.283927,0.0101445,0.283716,0.00739259
563.38,0.277422,0.00884624,0.278143,0.0077329
562.39,0.277481,0.00661235,0.278567,0.00690295
561.404,0.282168,0.00490094,0.283037,0.00614249
560.42,0.284392,0.00373317,0.284888,0.00549784
559.441,0.282351,0.002983,0.28258,0.00493492
558.464,0.279934,0.00250659,0.280091,0.00444396
557.491,0.280058,0.00284658,0.280483,0.00504621
556.522,0.283527,0.00323423,0.284802,0.00565527
555.556,0.285908,0.00368709,0.288382,0.00632335
554.593,0.283329,0.00426518,0.286481,0.00714749
553.633,0.27887,0.00499847,0.281247,0.00818885
552.677,0.281034,0.00400583,0.281135,0.00674551
551.724,0.285242,0.00312088,0.284241,0.0052268
550.775,0.285971,0.00261756,0.285488,0.00401691
549.828,0.284182,0.00240509,0.284907,0.0030554
548.885,0.283202,0.00239495,0.284722,0.00229475
547.945,0.284111,0.00287311,0.28556,0.00203485
547.009,0.286136,0.00363221,0.286675,0.00193705
546.075,0.287537,0.00450573,0.28677,0.00183252
545.145,0.287954,0.00546827,0.2859,0.00171862
544.218,0.288995,0.00647331,0.285595,0.00159613
543.294,0.291822,0.00727073,0.286697,0.00139601
542.373,0.295149,0.00782045,0.287941,0.00116693
541.455,0.297351,0.00825159,0.288066,0.000979829
540.541,0.298658,0.0085428,0.28753,0.000828176
539.629,0.300346,0.00868868,0.287552,0.000705387
538.721,0.302996,0.0089497,0.28835,0.000653513
537.815,0.30614,0.0094339,0.289152,0.000678864
536.913,0.308652,0.00981392,0.289137,0.000712191
536.013,0.3106,0.0100871,0.288638,0.00075176
535.117,0.312811,0.0102671,0.288815,0.000794774
534.224,0.315482,0.0103816,0.289893,0.000836346
533.333,0.317796,0.0104381,0.29062,0.000865362
532.446,0.319457,0.0105341,0.290117,0.000898783
531.561,0.321738,0.0106936,0.289613,0.000935276
530.68,0.325544,0.0109364,0.290488,0.000973671
529.801,0.329203,0.0111609,0.291814,0.000982737
528.926,0.329104,0.0106338,0.291674,0.000761614
528.053,0.328469,0.0103001,0.29116,0.000596719
527.183,0.328501,0.0101457,0.291397,0.000474213
526.316,0.328819,0.0101252,0.292062,0.000385107
525.452,0.328536,0.010165,0.292426,0.000322239
524.59,0.328222,0.0106739,0.292476,0.000328238
523.732,0.327553,0.0111733,0.292536,0.000347137
522.876,0.327023,0.0115752,0.292851,0.000374803
522.023,0.326736,0.0118341,0.293215,0.000410121
521.173,0.326656,0.0119185,0.293378,0.000451988
520.325,0.326947,0.0117541,0.293473,0.00049264
519.481,0.327803,0.0113965,0.293785,0.000534081
518.639,0.329018,0.0109159,0.29429,0.000577991
517.799,0.33022,0.0103524,0.294734,0.000622953
516.963,0.331311,0.00974284,0.294992,0.000668146
516.129,0.332685,0.00925437,0.29516,0.000739067
515.298,0.334389,0.00885985,0.295285,0.00083336
514.469,0.336041,0.00848503,0.295304,0.00093304
513.644,0.337423,0.0081621,0.295252,0.00103924
512.821,0.338612,0.00791653,0.295392,0.00115298
512,0.339294,0.00757568,0.295978,0.00120802
511.182,0.339101,0.00704173,0.29686,0.00115828
510.367,0.338848,0.00663159,0.297751,0.00111917
509.554,0.338521,0.00631324,0.298545,0.0010892
508.744,0.33813,0.00605938,0.299184,0.00106684
507.937,0.337995,0.00597533,0.29966,0.00109158
507.132,0.338997,0.00645711,0.300224,0.00129945
506.329,0.340031,0.00699743,0.301462,0.00163636
505.529,0.340499,0.00757641,0.301612,0.00196189
504.732,0.340711,0.00817476,0.301791,0.00231017
503.937,0.340766,0.00869754,0.302135,0.00264715
503.145,0.340366,0.00844554,0.302571,0.00263126
502.355,0.340367,0.00810945,0.303227,0.0025802
501.567,0.34074,0.00770764,0.304112,0.00249969
500.782,0.341315,0.00726262,0.305168,0.00239833
500,0.341905,0.00679759,0.306315,0.00228634
499.22,0.342879,0.00657687,0.30762,0.00229667
498.442,0.34384,0.00637255,0.308897,0.00231943
497.667,0.344637,0.00616273,0.309984,0.00234433
496.894,0.345214,0.00596189,0.310772,0.00237895
496.124,0.34558,0.00578238,0.311232,0.00242889
495.356,0.345496,0.0055398,0.311282,0.00244101
494.59,0.345151,0.00530834,0.311009,0.00244878
493.827,0.344705,0.00512934,0.310533,0.00247217
493.066,0.344211,0.00500042,0.309997,0.00250692
492.308,0.343701,0.00491667,0.309552,0.00254808
491.551,0.343277,0.00490609,0.309338,0.00261673
490.798,0.342882,0.00494941,0.309396,0.00270084
490.046,0.342473,0.00501004,0.309732,0.00277678
489.297,0.342116,0.00507274,0.310341,0.00283897
488.55,0.341878,0.00512171,0.311185,0.00288265
487.805,0.341787,0.00511541,0.312199,0.00288453
487.062,0.341908,0.00503002,0.313347,0.00283318
486.322,0.342339,0.00490683,0.314621,0.00276054
485.584,0.343036,0.00475077,0.315962,0.00267096
484.848,0.343898,0.00457012,0.317289,0.00257073
484.115,0.344685,0.00432181,0.318453,0.00243163
483.384,0.344974,0.003933,0.319206,0.0022065
482.655,0.34496,0.00357715,0.319631,0.00201212
481.928,0.344599,0.00325562,0.319694,0.00184723
481.203,0.3439,0.00296749,0.319402,0.0017086
480.48,0.343113,0.00275321,0.318907,0.00162172
479.76,0.343119,0.00276969,0.318671,0.00170073
479.042,0.342917,0.00279427,0.318238,0.00179287
