

lambda(m), Y
5.09554e-07, 0.382923
5.08744e-07, 0.383287
5.07937e-07, 0.383652
5.07132e-07, 0.384019
5.06329e-07, 0.384387
5.05529e-07, 0.384757
5.04732e-07, 0.385129
5.03937e-07, 0.385502
5.03145e-07, 0.385877
5.02355e-07, 0.386254
5.01567e-07, 0.386632
5.00782e-07, 0.387013
5e-07, 0.387395
4.9922e-07, 0.387779
4.98442e-07, 0.388164
4.97667e-07, 0.388552
4.96894e-07, 0.388941
4.96124e-07, 0.389332
4.95356e-07, 0.389724
4.9459e-07, 0.390119
4.93827e-07, 0.390516
4.93066e-07, 0.390914
4.92308e-07, 0.391314
4.91551e-07, 0.391716
4.90798e-07, 0.39212
4.90046e-07, 0.392526
4.89297e-07, 0.392934
4.8855e-07, 0.393343
4.87805e-07, 0.393755
4.87062e-07, 0.394169
4.86322e-07, 0.394584
4.85584e-07, 0.395002
4.84848e-07, 0.395421
4.84115e-07, 0.395843
4.83384e-07, 0.396266
4.82655e-07, 0.396692
4.81928e-07, 0.39712
4.81203e-07, 0.397549
4.8048e-07, 0.397981
4.7976e-07, 0.398415
4.79042e-07, 0.398851
4.78326e-07, 0.399289
4.77612e-07, 0.399729
4.769e-07, 0.400172
4.7619e-07, 0.400616
4.75483e-07, 0.401063
4.74777e-07, 0.401512
4.74074e-07, 0.401963
4.73373e-07, 0.402416
4.72674e-07, 0.402872
4.71976e-07, 0.40333
4.71281e-07, 0.40379
4.70588e-07, 0.404252
4.69897e-07, 0.404717
4.69208e-07, 0.405184
4.68521e-07, 0.405653
4.67836e-07, 0.406125
4.67153e-07, 0.406599
4.66472e-07, 0.407075
4.65793e-07, 0.407554
4.65116e-07, 0.408035
4.64441e-07, 0.408519
4.63768e-07, 0.409005
4.63097e-07, 0.409494
4.62428e-07, 0.409985
4.6176e-07, 0.410478
4.61095e-07, 0.410975
4.60432e-07, 0.411473
4.5977e-07, 0.411974
4.5911e-07, 0.412478
4.58453e-07, 0.412985
4.57797e-07, 0.413494
4.57143e-07, 0.414005
4.56491e-07, 0.41452
4.5584e-07, 0.415037
4.55192e-07, 0.415557
4.54545e-07, 0.416079
4.53901e-07, 0.416604
4.53258e-07, 0.417132
4.52617e-07, 0.417663
4.51977e-07, 0.418197
4.5134e-07, 0.418733
4.50704e-07, 0.419272
4.5007e-07, 0.419814
4.49438e-07, 0.42036
4.48808e-07, 0.420907
4.48179e-07, 0.421458
4.47552e-07, 0.422012
4.46927e-07, 0.422569
4.46304e-07, 0.423129
4.45682e-07, 0.423692
4.45063e-07, 0.424258
4.44444e-07, 0.424827
4.43828e-07, 0.425399
4.43213e-07, 0.425974
4.426e-07, 0.426553
4.41989e-07, 0.427134
4.41379e-07, 0.427719
4.40771e-07, 0.428307
4.40165e-07, 0.428899
4.3956e-07, 0.429493
4.38957e-07, 0.430091
4.38356e-07, 0.430692
4.37756e-07, 0.431297
4.37158e-07, 0.431905
4.36562e-07, 0.432517
4.35967e-07, 0.433132
4.35374e-07, 0.43375
4.34783e-07, 0.434372
4.34193e-07, 0.434998
4.33604e-07, 0.435627
4.33018e-07, 0.436259
4.32432e-07, 0.436896
4.31849e-07, 0.437536
4.31267e-07, 0.438179
