wavelength_nm,R,T,A
4.000000000000000000e+02,6.247758994453646991e-04,8.295491725100320735e-02,9.164203068495514470e-01
4.010000000000000000e+02,9.139165867123134673e-04,8.249924560589337597e-02,9.165868378073942502e-01
4.020000000000000000e+02,1.295528673494435569e-03,8.213010030902853642e-02,9.165743710174769632e-01
4.030000000000000000e+02,1.739651569528460895e-03,8.183619157177533798e-02,9.164241568586961595e-01
4.039999999999999432e+02,2.216601731865303071e-03,8.161968372776789993e-02,9.161637145403667137e-01
4.050000000000000000e+02,2.696975138020631709e-03,8.149876338119220465e-02,9.158042614807871962e-01
4.059999999999999432e+02,3.154545737902285634e-03,8.148446385927041180e-02,9.153609904028272570e-01
4.070000000000000000e+02,3.565270965264703829e-03,8.156773613483007945e-02,9.148669928999052514e-01
4.080000000000000000e+02,3.909244619324958592e-03,8.173897893770092071e-02,9.143517764429741623e-01
4.089999999999999432e+02,4.172923532895524840e-03,8.198046150873002091e-02,9.138466149583743814e-01
4.100000000000000000e+02,4.341422653033840708e-03,8.232560800538016310e-02,9.133329693415860318e-01
4.109999999999999432e+02,4.407198224618852356e-03,8.276426242880975670e-02,9.128285393465713771e-01
4.120000000000000000e+02,4.365995167496627798e-03,8.329671880546406226e-02,9.123372860270393403e-01
4.130000000000000000e+02,4.216937122217037301e-03,8.393476418812477469e-02,9.118482986896582210e-01
4.140000000000000000e+02,3.949273703266247861e-03,8.429980984990174953e-02,9.117509164468320382e-01
4.150000000000000000e+02,3.590062501968430565e-03,8.462341735095402218e-02,9.117865201470775061e-01
4.159999999999999432e+02,3.160793928669153145e-03,8.504383605179013927e-02,9.117953700195406963e-01
4.170000000000000000e+02,2.681533669143113148e-03,8.554731193649117715e-02,9.117711543943656238e-01
4.179999999999999432e+02,2.173656929545660435e-03,8.614162430327661213e-02,9.116847187671777153e-01
4.190000000000000000e+02,1.663032010893049535e-03,8.682388638103220868e-02,9.115130816080747600e-01
4.200000000000000000e+02,1.178535745334215006e-03,8.757611384124047715e-02,9.112453504134252480e-01
4.209999999999999432e+02,7.527539931144637065e-04,8.841118061343231083e-02,9.108360653934531870e-01
4.220000000000000000e+02,4.205173784834990167e-04,8.932213573398900541e-02,9.102573468875274632e-01
4.229999999999999432e+02,2.184227593832423404e-04,9.029985640806778568e-02,9.094817208325489677e-01
4.240000000000000000e+02,1.848275475862049607e-04,9.135403073985592926e-02,9.084611417125578736e-01
4.249999999999999432e+02,3.591911535720277316e-04,9.247898148003116936e-02,9.071618273663967225e-01
4.260000000000000000e+02,7.785816226924347026e-04,9.367286394718227216e-02,9.055485544301253853e-01
4.270000000000000000e+02,1.482430859687418551e-03,9.493208129157713893e-02,9.035854878487353803e-01
4.279999999999999432e+02,2.509528217991047108e-03,9.623958158494022586e-02,9.012508901970688324e-01
4.290000000000000000e+02,3.898019067795735135e-03,9.759042817150527516e-02,8.985115527606989394e-01
4.299999999999999432e+02,5.682392353444508555e-03,9.899601651947843861e-02,8.953215911270770988e-01
4.310000000000000000e+02,7.894466674151185553e-03,1.004505992339700671e-01,8.916549340918787925e-01
4.319999999999999432e+02,1.056257235444286666e-02,1.019510781310103281e-01,8.874863495145467462e-01
4.330000000000000000e+02,1.371093163539589994e-02,1.034972536988937875e-01,8.827918146657103282e-01
4.340000000000000000e+02,1.735412616972496769e-02,1.050714377695514956e-01,8.775744360607234951e-01
