wavelength_nm,R
4.000000000000000000e+02,3.094733895708010052e-01
4.010000000000000000e+02,2.982365907965396912e-01
4.020000000000000000e+02,2.871011258110727771e-01
4.030000000000000000e+02,2.762767519495047952e-01
4.039999999999999432e+02,2.658121697075818135e-01
4.050000000000000000e+02,2.555949086912059909e-01
4.059999999999999432e+02,2.457242344473200002e-01
4.070000000000000000e+02,2.362062903420131810e-01
4.080000000000000000e+02,2.271070742377665486e-01
4.089999999999999432e+02,2.185725848926238224e-01
4.100000000000000000e+02,2.105121372265024438e-01
4.109999999999999432e+02,2.030303991378839823e-01
4.120000000000000000e+02,1.961621353863904349e-01
4.130000000000000000e+02,1.898724301886914323e-01
4.140000000000000000e+02,1.842842717077726733e-01
4.150000000000000000e+02,1.793578977806586650e-01
4.159999999999999432e+02,1.750671476112901637e-01
4.170000000000000000e+02,1.714973242308604207e-01
4.179999999999999432e+02,1.685854775794723148e-01
4.190000000000000000e+02,1.663316610230443360e-01
4.200000000000000000e+02,1.647981826893014090e-01
4.209999999999999432e+02,1.639069758982783787e-01
4.220000000000000000e+02,1.636702696314535910e-01
4.229999999999999432e+02,1.641055425727973027e-01
4.240000000000000000e+02,1.651296226233869013e-01
4.249999999999999432e+02,1.667247399397432384e-01
4.260000000000000000e+02,1.688316856298109070e-01
4.270000000000000000e+02,1.714274950686371646e-01
4.279999999999999432e+02,1.745340231454964863e-01
4.290000000000000000e+02,1.781187990188513870e-01
4.299999999999999432e+02,1.820927427831763312e-01
4.310000000000000000e+02,1.864319003234374272e-01
4.319999999999999432e+02,1.911005150513088169e-01
4.330000000000000000e+02,1.960509320913919329e-01
4.340000000000000000e+02,2.012834532535371090e-01
4.349999999999999432e+02,2.067614120560232194e-01
4.360000000000000000e+02,2.124605772678472004e-01
4.369999999999999432e+02,2.183397648427452264e-01
4.380000000000000000e+02,2.243891535331625497e-01
4.389999999999999432e+02,2.305281699080812818e-01
4.399999999999999432e+02,2.367314739160547021e-01
4.410000000000000000e+02,2.428822231135641385e-01
4.419999999999999432e+02,2.490411685950676690e-01
4.430000000000000000e+02,2.552130071267517675e-01
4.440000000000000000e+02,2.614592509674105725e-01
4.450000000000000000e+02,2.676534098111490456e-01
4.460000000000000000e+02,2.738227531437389950e-01
4.469999999999999432e+02,2.798113374836651013e-01
4.480000000000000000e+02,2.856982170154910294e-01
4.489999999999999432e+02,2.914705769252298739e-01
4.500000000000000000e+02,2.972364719397916910e-01
4.510000000000000000e+02,3.028949926618972888e-01
4.519999999999999432e+02,3.084066604309657067e-01
4.530000000000000000e+02,3.137442869189323025e-01
4.539999999999999432e+02,3.189024718337366560e-01
4.550000000000000000e+02,3.238946629087149365e-01
4.559999999999999432e+02,3.287246276665736211e-01
4.570000000000000000e+02,3.334149672143094656e-01
4.580000000000000000e+02,3.379270062715986622e-01
4.589999999999999432e+02,3.422578787765611641e-01
4.600000000000000000e+02,3.464390345533074900e-01
4.609999999999999432e+02,3.504142955598485987e-01
4.620000000000000000e+02,3.542064119201946415e-01
4.629999999999999432e+02,3.578112361126002394e-01
4.640000000000000000e+02,3.612271358907442886e-01
4.650000000000000000e+02,3.644593200137067335e-01
4.659999999999999432e+02,3.675321083079953755e-01
4.670000000000000000e+02,3.705398594285529978e-01
4.679999999999999432e+02,3.733717956263265525e-01
4.690000000000000000e+02,3.760151730383933799e-01
4.699999999999999432e+02,3.784493207785116775e-01
4.709999999999999432e+02,3.806493779642687314e-01
4.720000000000000000e+02,3.826710100027954642e-01
4.729999999999999432e+02,3.845156986498743934e-01
4.740000000000000000e+02,3.863178819405220787e-01
4.749999999999999432e+02,3.879730645055490812e-01
4.760000000000000000e+02,3.894489621725946149e-01
4.769999999999999432e+02,3.907397549466992692e-01
4.779999999999998863e+02,3.917919047907856833e-01
4.790000000000000000e+02,3.926789935992707758e-01
4.799999999999999432e+02,3.934028711153229607e-01
4.809999999999999432e+02,3.939754043831065200e-01
4.820000000000000000e+02,3.944000602165403380e-01
4.829999999999999432e+02,3.946622267606733625e-01
4.839999999999999432e+02,3.947637542320493464e-01
4.850000000000000000e+02,3.947354986506105279e-01
4.860000000000000000e+02,3.945646777269362637e-01
4.869999999999999432e+02,3.942410496339338599e-01
4.880000000000000568e+02,3.937664544067874806e-01
4.890000000000000000e+02,3.931574464000873181e-01
4.899999999999999432e+02,3.924034439695046617e-01
4.909999999999999432e+02,3.915046697809289045e-01
4.920000000000000000e+02,3.904629421979534665e-01
4.930000000000000000e+02,3.892990983578251130e-01
4.939999999999999432e+02,3.879953448994925558e-01
4.949999999999999432e+02,3.865534978948492184e-01
4.960000000000000000e+02,3.849797504241174728e-01
4.969999999999999432e+02,3.833116739409015983e-01
4.979999999999999432e+02,3.815123865442324735e-01
4.990000000000000000e+02,3.795837413079286016e-01
5.000000000000000000e+02,3.775290353928156817e-01
5.009999999999999432e+02,3.753720177698613436e-01
5.020000000000000000e+02,3.730908920762784908e-01
5.030000000000000000e+02,3.706875717248866997e-01
5.039999999999999432e+02,3.681640046323678139e-01
5.049999999999999432e+02,3.655453988173702484e-01
5.060000000000000000e+02,3.627991211689872708e-01
5.070000000000000000e+02,3.599412392725057086e-01
5.079999999999999432e+02,3.569739034520950094e-01
5.089999999999998863e+02,3.538815949006747785e-01
5.100000000000000000e+02,3.506773963389193116e-01
5.109999999999999432e+02,3.473653893849107388e-01
5.119999999999999432e+02,3.439480233410425747e-01
5.130000000000000000e+02,3.404725682318726632e-01
5.140000000000000000e+02,3.369187238620880431e-01
5.149999999999998863e+02,3.332704304453226740e-01
5.160000000000000000e+02,3.295526502516387124e-01
5.170000000000000000e+02,3.257474341832725107e-01
5.180000000000000000e+02,3.218570599636594309e-01
5.189999999999998863e+02,3.178836972168889718e-01
5.200000000000000000e+02,3.138304168855666765e-01
5.210000000000000000e+02,3.096778613255388724e-01
5.219999999999998863e+02,3.054722309158832694e-01
5.229999999999998863e+02,3.011958844394498902e-01
5.240000000000000000e+02,2.968523865233781422e-01
5.250000000000000000e+02,2.924454185281009089e-01
5.259999999999998863e+02,2.879934756874736879e-01
5.270000000000000000e+02,2.834772679265546436e-01
5.280000000000000000e+02,2.789087399301470871e-01
5.289999999999998863e+02,2.742920415184873506e-01
5.300000000000000000e+02,2.696366875450114109e-01
5.310000000000000000e+02,2.649900192346232863e-01
5.320000000000000000e+02,2.603100591868267033e-01
5.330000000000000000e+02,2.556012555248067808e-01
5.340000000000000000e+02,2.508681590634350145e-01
5.350000000000000000e+02,2.461498827731931072e-01
5.359999999999998863e+02,2.414105823496583147e-01
5.369999999999998863e+02,2.366608809718143691e-01
5.380000000000000000e+02,2.319057667297112491e-01
5.389999999999998863e+02,2.271503087648258368e-01
5.399999999999998863e+02,2.223599636840548344e-01
5.410000000000000000e+02,2.176035057539294493e-01
5.420000000000000000e+02,2.128618625923048013e-01
5.429999999999998863e+02,2.081403849721193411e-01
5.440000000000000000e+02,2.034507388583534082e-01
5.450000000000000000e+02,1.988170534483114649e-01
5.459999999999998863e+02,1.942195471884380908e-01
5.470000000000000000e+02,1.896635862964600738e-01
5.480000000000000000e+02,1.851545347494432392e-01
5.490000000000000000e+02,1.806782940034482587e-01
5.499999999999998863e+02,1.762313081377223922e-01
5.510000000000000000e+02,1.718486169567871868e-01
5.520000000000000000e+02,1.675357313780423407e-01
5.529999999999998863e+02,1.632980989931422933e-01
5.539999999999998863e+02,1.591924442547740237e-01
5.550000000000000000e+02,1.552214629645911614e-01
